12321395	_hypernym	12320010
09051235	_has_part	09103943
01424456	_derivationally_related_form	05553486
09425607	_derivationally_related_form	01513838
02647497	_derivationally_related_form	05393023
00065070	_derivationally_related_form	14322699
11723655	_hypernym	11571907
08182379	_derivationally_related_form	02028722
01371756	_derivationally_related_form	00136329
08926877	_instance_hypernym	09203827
01551871	_derivationally_related_form	10566072
00583239	_also_see	00346991
14302261	_derivationally_related_form	02616627
02463141	_derivationally_related_form	00183505
01725712	_also_see	01463965
12812665	_hypernym	11579418
05685879	_derivationally_related_form	01462928
08923755	_instance_hypernym	08524735
04975340	_derivationally_related_form	00574735
00154689	_derivationally_related_form	02481231
00974367	_derivationally_related_form	09795124
01448100	_derivationally_related_form	10492202
00873603	_also_see	00884778
07193184	_derivationally_related_form	00788184
01906823	_derivationally_related_form	05003090
01683724	_hypernym	01656813
00567044	_synset_domain_topic_of	00479887
01432474	_derivationally_related_form	05301908
13412321	_derivationally_related_form	01001857
13999663	_hypernym	13998576
01292727	_derivationally_related_form	09334396
02016523	_derivationally_related_form	07370125
09991867	_derivationally_related_form	01226600
02396716	_derivationally_related_form	00163779
03804744	_has_part	03501288
09112857	_instance_hypernym	08524735
02595662	_derivationally_related_form	10521470
01565472	_derivationally_related_form	00966384
01748560	_hypernym	01657723
10488016	_derivationally_related_form	06055946
01628449	_derivationally_related_form	00240184
08972521	_member_of_domain_region	10525878
00588780	_derivationally_related_form	09787534
01020005	_derivationally_related_form	06763273
08950035	_instance_hypernym	08524735
07363346	_derivationally_related_form	01970826
14627820	_derivationally_related_form	01338113
11015080	_instance_hypernym	10022111
00574996	_derivationally_related_form	07416107
09513902	_synset_domain_topic_of	15253139
11692952	_member_meronym	11739530
00796976	_derivationally_related_form	10616379
02603699	_derivationally_related_form	13954253
00464962	_also_see	01430847
06880664	_derivationally_related_form	00135285
13306870	_derivationally_related_form	02321046
11418460	_derivationally_related_form	01468097
05697363	_derivationally_related_form	00336831
07047011	_synset_domain_topic_of	07020895
00809465	_derivationally_related_form	10389398
00249721	_also_see	00262792
00120202	_derivationally_related_form	01965156
01350855	_hypernym	01355326
08341551	_hypernym	08337324
00540235	_derivationally_related_form	00367768
02156546	_derivationally_related_form	07335716
00785962	_derivationally_related_form	10207831
01363613	_also_see	01366718
15274695	_derivationally_related_form	00779360
05090441	_derivationally_related_form	00434077
10484858	_synset_domain_topic_of	08441203
00294190	_derivationally_related_form	01901447
01346003	_derivationally_related_form	03848348
02038357	_derivationally_related_form	05068080
06890846	_derivationally_related_form	02141973
00095971	_derivationally_related_form	00265386
01708113	_derivationally_related_form	09809925
00040325	_derivationally_related_form	14006945
10216403	_derivationally_related_form	02593354
06151693	_derivationally_related_form	10620758
01128193	_derivationally_related_form	04014297
08414807	_derivationally_related_form	00625963
03800933	_derivationally_related_form	01707925
09767197	_derivationally_related_form	02561995
14064644	_derivationally_related_form	01190277
09113762	_instance_hypernym	08524735
00838043	_derivationally_related_form	10201535
06403969	_derivationally_related_form	09889170
04768657	_derivationally_related_form	00404642
00650353	_derivationally_related_form	04748836
00296178	_derivationally_related_form	00999787
00086320	_verb_group	01585523
00724492	_derivationally_related_form	05982915
01116968	_derivationally_related_form	02302817
00773432	_derivationally_related_form	07183151
00334996	_derivationally_related_form	00708017
00925372	_derivationally_related_form	07525555
13658496	_hypernym	13649268
01100145	_derivationally_related_form	07354731
01321895	_verb_group	01322223
