00873603	_also_see	00884778
00774056	_derivationally_related_form	09896826
07105475	_member_of_domain_usage	15267945
11705052	_hypernym	13162297
00272391	_derivationally_related_form	05677504
08107191	_synset_domain_topic_of	06037666
10064229	_synset_domain_region_of	08871007
01229938	_hyponym	01231819
00007846	_hyponym	09621545
06845599	_member_of_domain_usage	03587715
01146576	_hypernym	01145359
04347754	_hyponym	02755529
12485811	_hypernym	11567411
07205946	_hyponym	07206096
11020721	_instance_hypernym	10624540
07296428	_hyponym	07416441
06350918	_hypernym	06350274
08571275	_hypernym	08523483
04018399	_synset_domain_region_of	08860123
11485582	_part_of	11485367
12538603	_member_meronym	12540250
08858248	_part_of	09209263
06329506	_hypernym	06309383
12512947	_member_holonym	12501745
03800933	_derivationally_related_form	01707925
00464962	_also_see	01430847
01069190	_derivationally_related_form	00145218
08364959	_hypernym	08366753
04907269	_hyponym	04907991
01951276	_hypernym	01953810
00351485	_hypernym	00191142
09130076	_part_of	08564307
01284444	_synset_domain_region_of	09108164
00699626	_derivationally_related_form	06511874
08615149	_hyponym	08600992
02872529	_part_of	03077958
10405694	_member_holonym	13837840
01217043	_derivationally_related_form	03421117
09168707	_part_of	09057311
01476685	_synset_domain_topic_of	06037666
03075191	_derivationally_related_form	06974127
01190561	_synset_domain_topic_of	08441203
00630380	_hyponym	00703512
11879722	_hypernym	11878283
05159495	_hypernym	05159225
01775879	_member_meronym	01781274
03420935	_hypernym	03575691
02485631	_derivationally_related_form	03491724
01523908	_member_meronym	01584004
10785333	_derivationally_related_form	01766952
04433585	_hypernym	02886599
00518653	_hypernym	00313987
10196845	_hypernym	10008716
02565072	_hypernym	02564720
12454159	_member_holonym	12454021
08722645	_instance_hypernym	09399592
02388403	_hypernym	00474017
00211108	_derivationally_related_form	14536831
07519253	_hyponym	07519773
01217043	_derivationally_related_form	03525454
09051235	_instance_hypernym	08574314
13928388	_hyponym	13931765
01941987	_synset_domain_topic_of	00300441
13169219	_member_meronym	12954978
03845550	_hyponym	02997773
12739801	_member_holonym	12739595
11168645	_instance_hypernym	10292316
03804744	_derivationally_related_form	01357831
00650353	_hypernym	00618878
02525866	_member_meronym	02526121
06682494	_hypernym	06682290
08142170	_hypernym	08348815
10207514	_hypernym	10305802
01854047	_member_meronym	01854223
00789448	_verb_group	01062739
03228016	_hypernym	02817799
03966976	_synset_domain_usage_of	06295235
00521562	_derivationally_related_form	01711445
13112664	_hyponym	12677841
10299700	_derivationally_related_form	00855674
04072193	_derivationally_related_form	00299341
13196545	_member_holonym	13192025
06098195	_member_of_domain_topic	09247071
01467180	_member_meronym	01467504
02587532	_hyponym	02587895
10268629	_derivationally_related_form	08375526
01659248	_hyponym	01660252
07296428	_hyponym	07337390
15068436	_hypernym	14818238
08981244	_member_of_domain_region	08011266
08198398	_hyponym	08190292
02124748	_hypernym	02106506
01133281	_hyponym	01134861
11375087	_instance_hypernym	10650162
07939159	_derivationally_related_form	02066304
07974025	_hyponym	08436562
03688943	_hypernym	04341686
01019524	_hypernym	01018630
06778925	_hypernym	06778102
10717461	_hypernym	00007846
