francisco_buyo	isaffiliatedto	spain_national_under-20_football_team
harlan_coben	hasgender	male
dennis_grote	isaffiliatedto	sc_preußen_münster
billy_mehmet	playsfor	dempo_s.c.
mevlüt_erdinç	playsfor	paris_saint-germain_f.c.
jim_moffat	isaffiliatedto	albion_rovers_f.c.
camille_oponga	playsfor	red_star_f.c.
edson_buddle	playsfor	new_york_red_bulls
nicolas_raynier	playsfor	fc_sète_34
arie_van_lent	isaffiliatedto	borussia_mönchengladbach
ilès_ziane_cherif	isaffiliatedto	mc_saïda
carl_medjani	isaffiliatedto	f.c._lorient
tony_chursky	playsfor	california_surf
óscar_cardozo	isaffiliatedto	paraguay_national_football_team
sergei_bragin	playsfor	sk_tallinna_sport
miquel_soler	isaffiliatedto	atlético_madrid
peter_omoduemuke	isaffiliatedto	cs_minerul_lupeni
gary_strodder	hasgender	male
iranildo_hermínio_ferreira	playsfor	aris_f.c._(thessaloniki)
gene_strenicer	playsfor	chicago_sting
mantorras	playsfor	f.c._alverca
matthew_mbuta	isaffiliatedto	cameroon_national_football_team
jerry_vandam	playsfor	kv_mechelen
bruno_barbosa_da_encarnação	isaffiliatedto	atlético_clube_goianiense
dražen_biškup	playsfor	nk_zagreb
gareth_hall	isaffiliatedto	havant_&_waterlooville_f.c.
ilhom_mo'minjonov	hasgender	male
tom_delonge	hasmusicalrole	wordnet_vocal_music_107282006
andrey_paryvaew	playsfor	fc_dinamo_minsk
andrea_esposito	isaffiliatedto	u.s._lecce
milan_martinović	isaffiliatedto	fk_rad
matt_damon	actedin	bourne_(film_series)
john_goodman	haswonprize	primetime_emmy_award
live_nation_entertainment	islocatedin	california
emanuele_belardi	playsfor	udinese_calcio
lau_nim_yat	isaffiliatedto	sun_pegasus_fc
jukka_koskinen_(footballer)	isaffiliatedto	mypa
yasuhiro_hato	playsfor	kashiwa_reysol
yuji_nakazawa	playsfor	yokohama_f._marinos
tomislav_mikulić	playsfor	ks_cracovia_(football)
danny_tiatto	playsfor	leicester_city_f.c.
márcio_rodrigues	playsfor	sport_club_internacional
carlos_casteglione	isaffiliatedto	arsenal_de_sarandí
dragan_stančić	playsfor	guizhou_zhicheng_f.c.
volodymyr_bidlovskyi	isaffiliatedto	fc_krymteplytsia_molodizhne
leroy_deleon	isaffiliatedto	detroit_lightning
peter_cushing	actedin	dracula_(1958_film)
joseba_del_olmo	playsfor	arenas_club_de_getxo
ben_moody	hasmusicalrole	wordnet_guitar_103467517
graaff-reinet	islocatedin	cacadu_district_municipality
dênis_oliveira_de_souza	playsfor	sport_club_corinthians_paulista
fallujah	islocatedin	al_anbar_governorate
mohd_farderin_kadir	isaffiliatedto	selangor_fa
i'm_not_there	islocatedin	united_states
chris_woods	isaffiliatedto	england_national_under-21_football_team
yeung_ching_kwong	playsfor	hong_kong_national_football_team
herman_van_rompuy	hasgender	male
imre_deme	isaffiliatedto	hungary_national_under-21_football_team
volodymyr_braila	isaffiliatedto	fc_dynamo-2_kyiv
jimmy_floyd_hasselbaink	hasgender	male
wisdom_fofo_agbo	isaffiliatedto	hong_kong_national_football_team
marcelinho_paraíba	isaffiliatedto	vfl_wolfsburg
fabrizio_biava	isaffiliatedto	ternana_calcio
rabah_madjer	isaffiliatedto	tours_f.c.
beyond_the_clouds_(1995_film)	islocatedin	france
mohd_azraai_khor_abdullah	hasgender	male
abdelaziz_ahanfouf	isaffiliatedto	arminia_bielefeld
lech_kaczyński	wasbornin	warsaw
gerd_zimmermann_(footballer)	playsfor	calgary_boomers
andré_weis	hasgender	male
vadis_odjidja-ofoe	isaffiliatedto	club_brugge_k.v.
paul_jones_(footballer_born_1978)	isaffiliatedto	droylsden_f.c.
gareth_seddon	playsfor	worcester_city_f.c.
grzegorz_lewandowski	hasgender	male
jaime_gómez_(salvadoran_footballer)	playsfor	once_municipal
šempeter_pri_gorici	islocatedin	slovenia
adam_newbold	isaffiliatedto	ballarat_red_devils
saša_stamenković	isaffiliatedto	f.k._red_star_belgrade
tayfun_seven	isaffiliatedto	turgutluspor
volodymyr_yezerskiy	playsfor	ukraine_national_football_team
scott_fitzgerald_(footballer_born_1979)	playsfor	leyton_orient_f.c.
patrick_parizon	isaffiliatedto	stade_brestois_29
leonīds_ostrovskis	isaffiliatedto	soviet_union_national_football_team
éverton_barbosa_da_hora	playsfor	luverdense_esporte_clube
charles_spencer-churchill_9th_duke_of_marlborough	isaffiliatedto	conservative_party_(uk)
bryan_prunty	isaffiliatedto	ayr_united_f.c.
ismo_lius	isaffiliatedto	fc_lahti
tabaré_silva	isaffiliatedto	uruguay_national_football_team
hajjiabad_county	islocatedin	iran
andy_martin_(footballer)	playsfor	whyteleafe_f.c.
daniele_galloppa	playsfor	parma_f.c.
dejan_vukadinović	playsfor	nyíregyháza_spartacus_fc
aleksandr_vasilevsky	haswonprize	order_of_victory
masakiyo_maezono	isaffiliatedto	goiás_esporte_clube
scott_hiley	playsfor	exeter_city_f.c.
champigny-sur-marne	islocatedin	france
tony_naylor	hasgender	male
gmina_garbów	islocatedin	lublin_voivodeship
bernie_james	playsfor	seattle_storm_(soccer)
huey_lewis	hasgender	male
