/m/0cm19f	/people/deceased_person/place_of_death	/m/04vmp
/m/02qfh	/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type	/m/0ckd1
/m/071cn	/location/location/time_zones	/m/02hcv8
/m/02_sr1	/film/film/language	/m/0653m
/m/0lbj1	/people/person/gender	/m/05zppz
/m/0lpjn	/people/person/profession	/m/02hrh1q
/m/0bxtg	/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency	/m/09nqf
/m/02_xgp2	/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	/m/01540
/m/0p9sw	/award/award_category/winners./award/award_honor/ceremony	/m/0bzk8w
/m/0gqyl	/award/award_category/category_of	/m/0g_w
