billy_halop;actedin;hell's_kitchen_(1939_film);billy_halop;actedin;crime_school;11.186905;1;15.074869;14.517069;10.616474;2;0.5578003
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;south_vietnam;9.956257;1;12.7394495;12.083366;9.990668;1;0.6560831
rosalyn_sussman_yalow;haswonprize;albert_lasker_award_for_basic_medical_research;rosalyn_sussman_yalow;haswonprize;nobel_prize_in_physiology_or_medicine;9.098929;1;12.820408;12.1966715;7.9091454;2;0.6237364
rekha;haswonprize;filmfare_awards;rekha;actedin;lajja_(film);9.7157755;1;14.931799;14.591268;9.592099;1;0.34053135
juan_povedano_martínez;isaffiliatedto;umf_selfoss;juan_povedano_martínez;playsfor;umf_selfoss;9.208759;1;11.387859;10.57739;-1.9627068;32427;0.8104696
gergő_jeremiás;isaffiliatedto;rákospalotai_eac;gergő_jeremiás;playsfor;rákospalotai_eac;9.692062;1;11.547169;10.787961;5.73787;15;0.7592077
anthony_charles;isaffiliatedto;barnet_f.c.;anthony_charles;playsfor;barnet_f.c.;9.982346;1;10.797535;9.99034;6.0747714;16;0.8071947
doug_gilmour;isaffiliatedto;toronto_maple_leafs;doug_gilmour;isaffiliatedto;chicago_blackhawks;7.346619;1;11.525347;11.1569;7.2720733;1;0.36844635
davide_succi;isaffiliatedto;a.c._cesena;davide_succi;playsfor;a.c._cesena;9.905564;1;10.967871;10.169803;6.814018;7;0.79806805
petar_borota;isaffiliatedto;f.c._porto;petar_borota;playsfor;f.c._porto;9.646544;1;10.849894;10.080848;6.7445803;2;0.7690458
paulo_sérgio_betanin;isaffiliatedto;e.c._juventude;paulo_sérgio_betanin;playsfor;esporte_clube_juventude;6.807052;1;11.336746;10.743886;5.5189366;7;0.5928602
joe_allon;isaffiliatedto;port_vale_f.c.;joe_allon;playsfor;port_vale_f.c.;10.00712;1;10.9004;10.098383;4.0623317;97;0.8020172
lorgio_álvarez;isaffiliatedto;bolivia_national_football_team;lorgio_álvarez;isaffiliatedto;club_bolívar;7.527173;1;11.18738;10.663072;7.024225;3;0.5243082
yaroslav_svorak;isaffiliatedto;fc_krymteplytsia_molodizhne;yaroslav_svorak;playsfor;fc_krymteplytsia_molodizhne;9.899038;1;11.408131;10.649586;5.052222;48;0.7585449
manfred_schwabl;isaffiliatedto;1._fc_nuremberg;manfred_schwabl;playsfor;1._fc_nürnberg;8.362649;1;11.173113;10.493181;8.07339;1;0.67993164
gábor_bardi;isaffiliatedto;zalaegerszegi_te;gábor_bardi;playsfor;zalaegerszegi_te;9.410547;1;11.321571;10.4814;5.358672;10;0.8401718
imre_deme;isaffiliatedto;hungary_national_under-21_football_team;imre_deme;playsfor;hungary_national_under-21_football_team;9.084066;1;11.104374;10.450651;7.4172373;2;0.65372276
kevin_mcleod;isaffiliatedto;swansea_city_a.f.c.;kevin_mcleod;playsfor;swansea_city_a.f.c.;10.128942;1;10.848295;10.026432;5.056364;71;0.8218632
andrea_esposito;isaffiliatedto;u.s._lecce;andrea_esposito;playsfor;u.s._lecce;9.867697;1;11.1164255;10.28684;6.0502863;10;0.8295851
diego_scotti;isaffiliatedto;club_olimpia;diego_scotti;playsfor;club_olimpia;10.082617;1;11.0172825;10.266029;5.6838293;36;0.7512531
jirès_kembo_ekoko;isaffiliatedto;al_ain_fc;jirès_kembo_ekoko;playsfor;al_ain_fc;9.14091;1;11.164898;10.266217;3.3006513;90;0.8986807
nicole_barnhart;isaffiliatedto;united_states_women's_national_soccer_team;nicole_barnhart;playsfor;united_states_women's_national_soccer_team;10.029223;1;11.705416;11.0386715;7.7185135;1;0.66674423
ryan_johnson_(soccer);isaffiliatedto;toronto_fc;ryan_johnson_(soccer);isaffiliatedto;toronto_f.c.;8.115271;1;11.033598;10.358603;5.775544;28;0.6749954
bobby_campbell_(scottish_footballer);isaffiliatedto;chelsea_f.c.;bobby_campbell_(scottish_footballer);playsfor;chelsea_f.c.;9.461402;1;11.136192;10.301151;4.857681;19;0.83504105
héctor_scarone;isaffiliatedto;uruguay_national_football_team;héctor_scarone;playsfor;uruguay_national_football_team;8.999434;1;11.214038;10.584369;8.061955;1;0.6296692
