jordi_pablo_ripollés;playsfor;spain_national_under-17_football_team;jordi_pablo_ripollés;isaffiliatedto;spain_national_under-17_football_team;jordi_pablo_ripollés;playsfor;spain_national_under-16_football_team;jordi_pablo_ripollés;playsfor;villarreal_cf_c;9.926715;1;16.751257;1;14.451492;6;5.908857544130902;3.3985981941223145
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;vienna_international_airport;9.1972885;1;14.53652;4;14.542513;7;3.49850178213293;7.134575366973877
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;brussels_south_charleroi_airport;9.1972885;1;14.53652;4;14.550084;7;3.4966090245400183;7.147846937179565
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;venice_marco_polo_airport;9.1972885;1;14.53652;4;14.552267;7;3.4960633137699526;7.050622940063477
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;vienna_international_airport;ibiza_airport;isconnectedto;brussels_south_charleroi_airport;9.1972885;1;14.53652;4;14.563531;7;3.493247681114292;7.177983045578003
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;vienna_international_airport;ibiza_airport;isconnectedto;brussels_south_charleroi_airport;9.1972885;1;14.53652;4;14.567205;7;3.492329245684897;7.059187650680542
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;nantes_atlantique_airport;9.1972885;1;14.53652;4;14.565617;7;3.492726362306983;7.042510509490967
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;venice_marco_polo_airport;ibiza_airport;isconnectedto;vienna_international_airport;9.1972885;1;14.53652;4;14.567966;7;3.492139033557842;7.074421644210815
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;venice_marco_polo_airport;ibiza_airport;isconnectedto;vienna_international_airport;9.1972885;1;14.53652;4;14.569396;7;3.4917817365230457;7.020305633544922
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;venice_marco_polo_airport;ibiza_airport;isconnectedto;brussels_south_charleroi_airport;9.1972885;1;14.53652;4;14.576748;7;3.48994438352931;7.111182928085327
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;venice_marco_polo_airport;ibiza_airport;isconnectedto;brussels_south_charleroi_airport;9.1972885;1;14.53652;4;14.576996;7;3.4898824199256646;7.072701454162598
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;lyon–saint_exupéry_airport;9.1972885;1;14.53652;4;14.56789;7;3.492158102341029;7.0385966300964355
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;leonardo_da_vinci–fiumicino_airport;ibiza_airport;isconnectedto;vienna_international_airport;ibiza_airport;isconnectedto;nantes_atlantique_airport;9.1972885;1;14.53652;4;14.577915;7;3.4896526806773553;7.053662538528442
ibiza_airport;isconnectedto;manchester_airport;ibiza_airport;isconnectedto;naples_international_airport;ibiza_airport;isconnectedto;vienna_international_airport;ibiza_airport;isconnectedto;nantes_atlantique_airport;9.1972885;1;14.53652;4;14.5829;7;3.4884070673059524;7.040168523788452
