abraham_trust;partnered;geoffrey_jenkinson;1;1
daniel_osmar_mendoza_dâˆšâ‰ az;occupation;cura_pâˆšâ°rroco;695;1268
thomas_munson;worked_with;midwest_archeological_center;175;1293
thomas_munson;worked_with;midwest_regional_office_of_the_national_park_service;175;1133
rodney_kelly;occupation;educator;2587;1000
peter_doig;sold_to;$25.9m;89;1624
archaeologist;sold_to;ebay;2492;113
zane_wylie;worked_with;scientists;992;727
yoneh_mizrahi;stolen_from;dream_downtown_hotel;1107;1706
ganesh_bahadur_shrestha;stole_from;temple;1577;3042
min_bahadur_khatri;stole_from;temple;1339;3042
ahmad_al-faqi_al-mahdi;worked_with;international_criminal_court;1390;1155
ahmad_al-faqi_al-mahdi;worked_with;ansar_dine;1352;1655
ahmad_al-faqi_al-mahdi;occupation;member;1139;1103
thieves;stole_from;kuberan_perumal_temple;6;1259
arthur_brand;worked_with;jewish_families;44;1112
arthur_brand;worked_with;criminal_gangs;44;1726
arthur_brand;worked_with;ira;44;1478
arthur_brand;worked_with;mafia;44;1360
thieves;stole_from;balasubramania_temple;6;1421
mark_beatty;worked_with;miami_american_indian_tribe;1149;726
mark_beatty;donated_to;miami_american_indian_tribe;1099;1223
vincenzo_peruggia;stolen_from;louvre;1587;3014
ahmad_al-faqi_al-mahdi;occupation;head_of_the_hisbah_or_the_manners_brigade;1286;1311
marianne_schmidl;occupation;ethnologist;1547;750
john_kerry;occupation;secretary_of_state;876;994
marei_von_saher;occupation;heir;385;1539
marei_von_saher;recovered_from;dutch_government;244;7
ely_sakhai;sold_to;chinese_forgers;2677;810
wu_anjie;stole_from;36_ancient_ruins;1093;732
wu_anjie;stole_from;state-level_protected_heritage_site;1158;928
wu_anjie;stole_from;liao_jin_and_yuan_dynasties;1176;1429
the_thief;stolen_from;dream_downtown_hotel;79;1610
peter_doig;worked_with;defense_expert_witness;2762;1109
alcalde_de_jorge_basadre;occupation;alcalde;975;63
alcalde_de_jorge_basadre;worked_with;comuna;1649;436
alcalde_de_jorge_basadre;worked_with;ministerio_de_cultura;1777;2866
alcalde_de_jorge_basadre;worked_with;archaeologists;1552;173
jonathan_bourne;paid;$249_372;2978;1328
richard_prince;worked_with;suicide_girls_group;190;1027
mary_boone;occupation;gallery_owner;17;1238
max_brod;donated_to;national_library_of_israel;1803;1514
max_ary;worked_with;cosmosphere_aerospace_and_space_museum;2111;1634
62-year-old_man;stole_from;byzantine_period;2255;1084
three_suspects;stolen_from;saints_peter_and_paul_rectory;598;1619
charles_dawson;occupation;amateur_antiquarian_and_solicitor;143;809
six_masked_robbers;stole_from;neemuch_mata_temple;1208;1218
sackett;paid;$13_000;2620;1190
marina_solomidou-ieronymidou;occupation;antiquities_department_head;887;1477
borko_ilincic;worked_with;pink_panther_gang;829;938
borko_ilincic;stolen_from;carlton_hotel;893;1047
borko_ilincic;stolen_from;cannes_film_festival;915;933
thieves;stole_from;deanston_distillery;6;1162
thieves;stole_from;deanston_visitor_centre;6;808
nancy_carlson;bought_from;government_auction;940;640
max_ary;sold_to;auction;2922;41
mamata_banerjee;occupation;chief_minister;778;1246
zhou_shifeng;worked_with;dairy_producer;1354;917
zhou_shifeng;worked_with;falun_gong;1364;890
