01865197;_also_see;00643250;00643250;_also_see;01865197;01865197;_also_see;02331262;0.9376715;1;0.9315069;2;0.061315287;7;5.704785559019077;0.8136866092681885
02526934;_derivationally_related_form;15291199;15291199;_derivationally_related_form;02526934;02526934;_derivationally_related_form;06373747;0.91462076;1;0.92768925;2;0.258596;4;2.661300093259831;0.8519144058227539
02526934;_derivationally_related_form;15291199;02526934;_derivationally_related_form;06373747;02526934;_hypernym;02526085;0.91462076;1;0.92768925;2;0.99434066;3;1.4833433148857162;0.8080329895019531
02526934;_derivationally_related_form;15291199;06373747;_derivationally_related_form;02526934;02526934;_derivationally_related_form;06373747;0.91462076;1;0.92768925;2;0.9429474;2;0.496185540650753;0.8430919647216797
02526934;_derivationally_related_form;15291199;15291199;_derivationally_related_form;02526934;02526934;_hypernym;02526085;0.91462076;1;0.92768925;2;0.14550649;2;0.6861503564299781;0.7965750694274902
02526934;_derivationally_related_form;15291199;15291199;_derivationally_related_form;02526934;06373747;_derivationally_related_form;02526934;0.91462076;1;0.92768925;2;0.19375472;3;1.6756680817495873;0.8622736930847168
02526934;_derivationally_related_form;15291199;06373747;_derivationally_related_form;02526934;02526934;_hypernym;02526085;0.91462076;1;0.92768925;2;0.9043565;2;0.505832929032706;0.8460123538970947
01931768;_derivationally_related_form;00815173;01931768;_derivationally_related_form;01144876;01931768;_derivationally_related_form;10151570;0.93129593;1;0.9046062;2;0.8881618;4;2.5041110185227904;1.387073278427124
01931768;_derivationally_related_form;00815173;01931768;_derivationally_related_form;10151570;01931768;_derivationally_related_form;10741821;0.93129593;1;0.9046062;2;0.88502645;4;2.504894785671138;1.3804824352264404
01931768;_derivationally_related_form;00815173;01931768;_derivationally_related_form;01144876;01931768;_derivationally_related_form;10741821;0.93129593;1;0.9046062;2;0.88365895;4;2.5052366279069016;1.4128363132476807
