mickey_daniels;actedin;the_big_show_(1923_film);mickey_daniels;actedin;a_quiet_street;mickey_daniels;actedin;july_days_(film);mickey_daniels;actedin;stage_fright_(1923_film);mickey_daniels;actedin;the_champeen;0.7477171;1;0.98366666;2;0.7390029;7;5.560862641227171;3.8032524585723877
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;rekha;actedin;zubeidaa;0.99263144;1;0.9773228;2;0.9494032;2;0.5069794442490634;4.911677122116089
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;khoon_pasina;rekha;actedin;zubeidaa;0.99263144;1;0.9773228;2;0.8069887;3;1.5424808642051944;4.90389084815979
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;rekha;actedin;khoon_pasina;0.99263144;1;0.9773228;2;0.9610811;2;0.5040603430574985;5.010374307632446
rekha;haswonprize;filmfare_awards;rekha;actedin;lajja_(film);rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;zubeidaa;0.99263144;1;0.9773228;2;0.9233248;2;0.5134962191891203;4.970641613006592
rekha;haswonprize;filmfare_awards;rekha;actedin;lajja_(film);rekha;actedin;vijeta;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;0.99263144;1;0.9773228;2;0.9585584;2;0.504690971419539;4.966288089752197
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;zubeidaa;rekha;actedin;dil_hai_tumhaara;0.99263144;1;0.9773228;2;0.96041167;2;0.5042276865014531;4.962852478027344
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;rekha;actedin;dil_hai_tumhaara;0.99263144;1;0.9773228;2;0.915197;2;0.5155264569853499;4.957300662994385
rekha;haswonprize;filmfare_awards;rekha;actedin;ganga_ki_saugandh;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;zubeidaa;0.99263144;1;0.9773228;2;0.95785725;2;0.5048662377665328;4.9601805210113525
rekha;haswonprize;filmfare_awards;rekha;actedin;namak_haraam;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;zubeidaa;0.99263144;1;0.9773228;2;0.95995456;2;0.5043419551137899;4.958386421203613
rekha;haswonprize;filmfare_awards;rekha;actedin;muqaddar_ka_sikandar;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;zubeidaa;0.99263144;1;0.9773228;2;0.9890161;2;0.49707670860501185;4.961014747619629
rekha;haswonprize;filmfare_awards;rekha;actedin;ganga_ki_saugandh;rekha;actedin;vijeta;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;0.99263144;1;0.9773228;2;0.99646425;2;0.4952147871996429;4.960980176925659
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;zubeidaa;rekha;actedin;umrao_jaan;0.99263144;1;0.9773228;2;0.7430741;3;1.5582958482304596;4.9592509269714355
rekha;haswonprize;filmfare_awards;rekha;actedin;namak_haraam;rekha;actedin;vijeta;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;0.99263144;1;0.9773228;2;0.9787376;2;0.49964630609689864;4.960173845291138
alexander_hleb;isaffiliatedto;fc_bate_borisov;alexander_hleb;playsfor;fc_bate_borisov;alexander_hleb;hasgender;male;alexander_hleb;isaffiliatedto;belarus_national_football_team;alexander_hleb;isaffiliatedto;vfb_stuttgart;0.7576731;1;0.9783865;2;0.49361733;4;2.6188734165989622;4.806785345077515
alexander_hleb;isaffiliatedto;fc_bate_borisov;alexander_hleb;playsfor;fc_bate_borisov;alexander_hleb;isaffiliatedto;belarus_national_football_team;alexander_hleb;isaffiliatedto;vfb_stuttgart;alexander_hleb;playsfor;arsenal_f.c.;0.7576731;1;0.9783865;2;0.30141434;4;2.663062578147916;4.764207601547241
alexander_hleb;isaffiliatedto;fc_bate_borisov;alexander_hleb;playsfor;fc_bate_borisov;alexander_hleb;isaffiliatedto;belarus_national_football_team;alexander_hleb;isaffiliatedto;vfb_stuttgart;alexander_hleb;playsfor;torku_konyaspor;0.7576731;1;0.9783865;2;0.085365474;9;7.70951321698263;4.764865398406982
