billy_halop;actedin;hell's_kitchen_(1939_film);billy_halop;actedin;crime_school;;;;;;;;;;11.186905;1;15.006283;1;14.187969;2;10.762952;3;1.6938782466928608
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;south_vietnam;;;;;;;;;;9.956257;1;13.460677;1;12.667586;2;9.620239;1;1.688494604045451
rosalyn_sussman_yalow;haswonprize;albert_lasker_award_for_basic_medical_research;rosalyn_sussman_yalow;haswonprize;national_medal_of_science;;;;;;;;;;9.098929;1;15.591287;1;14.7140665;2;8.926417;2;1.7062458376538046
rekha;haswonprize;filmfare_awards;rekha;hasgender;female;;;;;;;;;;9.7157755;1;13.705443;1;12.905327;1;9.554658;1;0.6899994093981225
juan_povedano_martínez;isaffiliatedto;umf_selfoss;juan_povedano_martínez;playsfor;umf_selfoss;;;;;;;;;;9.208759;1;14.412738;1;7.4981494;201;-3.1723776;105228;200.99900779532726
gergő_jeremiás;isaffiliatedto;rákospalotai_eac;gergő_jeremiás;playsfor;rákospalotai_eac;;;;;;;;;;9.692062;1;16.18419;1;11.790955;12;5.8246026;10;11.987790257182516
anthony_charles;isaffiliatedto;barnet_f.c.;anthony_charles;playsfor;barnet_f.c.;;;;;;;;;;9.982346;1;17.0587;1;13.255195;5;6.4834237;7;4.97819363832641
doug_gilmour;isaffiliatedto;toronto_maple_leafs;doug_gilmour;isaffiliatedto;st._louis_blues;;;;;;;;;;7.346619;1;14.928322;1;14.455664;2;7.79563;1;1.616012713309848
davide_succi;isaffiliatedto;a.c._cesena;davide_succi;playsfor;a.c._cesena;;;;;;;;;;9.905564;1;16.936203;1;13.603542;5;6.5829806;12;4.965532425570175
petar_borota;isaffiliatedto;f.c._porto;petar_borota;playsfor;f.c._porto;;;;;;;;;;9.646544;1;16.560432;1;11.896512;3;6.073271;7;2.9906586607254306
paulo_sérgio_betanin;isaffiliatedto;e.c._juventude;paulo_sérgio_betanin;isaffiliatedto;u.s._grosseto_f.c.;;;;;;;;;;6.807052;1;13.421352;1;13.204038;2;6.9340205;2;1.5541158758584386
joe_allon;isaffiliatedto;port_vale_f.c.;joe_allon;playsfor;port_vale_f.c.;;;;;;;;;;10.00712;1;17.484028;1;9.656816;76;4.5665116;67;75.99960142345273
lorgio_álvarez;isaffiliatedto;bolivia_national_football_team;lorgio_álvarez;isaffiliatedto;club_bolívar;;;;;;;;;;7.527173;1;13.93455;3;13.400995;4;7.2071095;3;1.6303118840958213
yaroslav_svorak;isaffiliatedto;fc_krymteplytsia_molodizhne;yaroslav_svorak;playsfor;fc_krymteplytsia_molodizhne;;;;;;;;;;9.899038;1;15.718636;1;13.394864;3;4.5630393;74;2.9108267402469945
manfred_schwabl;isaffiliatedto;1._fc_nuremberg;manfred_schwabl;isaffiliatedto;tsv_1860_münchen;;;;;;;;;;8.362649;1;16.13455;1;15.948059;2;8.896001;2;1.5464880974444934
gábor_bardi;isaffiliatedto;zalaegerszegi_te;gábor_bardi;playsfor;zalaegerszegi_te;;;;;;;;;;9.410547;1;15.813923;1;11.350672;3;4.74373;17;2.988606474717902
imre_deme;isaffiliatedto;hungary_national_under-21_football_team;imre_deme;playsfor;hungary_national_under-21_football_team;;;;;;;;;;9.084066;1;16.22233;1;14.198523;2;7.6770067;2;1.8832741418004804
kevin_mcleod;isaffiliatedto;swansea_city_a.f.c.;kevin_mcleod;playsfor;swansea_city_a.f.c.;;;;;;;;;;10.128942;1;16.836788;1;10.374023;81;5.0886865;73;80.99844195585752
andrea_esposito;isaffiliatedto;u.s._lecce;andrea_esposito;isaffiliatedto;genoa_c.f.c.;;;;;;;;;;9.867697;1;17.173534;1;16.952398;2;10.248907;1;1.5550598317511324
diego_scotti;isaffiliatedto;club_olimpia;diego_scotti;playsfor;club_olimpia;;;;;;;;;;10.082617;1;16.417913;1;12.410475;15;5.647515;34;14.982144706887421
jirès_kembo_ekoko;isaffiliatedto;al_ain_fc;jirès_kembo_ekoko;playsfor;al_ain_fc;;;;;;;;;;9.14091;1;16.068743;1;7.9704933;77;1.996189;339;76.99969602146274
