moe_howard;actedin;income_tax_sappy;moe_howard;actedin;higher_than_a_kite;moe_howard;actedin;bedlam_in_paradise;moe_howard;actedin;hello_pop!;;;;3.2985961;2.715997;1;1
george_scratchley_brown;diedin;bethesda;george_scratchley_brown;haswonprize;legion_of_merit;;;;;;;;;;6.859623;7.5016065;1;1
roscoe_b._woodruff;haswonprize;distinguished_service_medal;roscoe_b._woodruff;haswonprize;legion_of_merit;;;;;;;;;;3.8657112;3.6724803;1;1
henry_fonda;haswonprize;academy_award_for_best_actor;henry_fonda;haswonprize;tony_award;;;;;;;;;;4.717474;4.2130213;1;1
kirill_lavrov;haswonprize;ussr_state_prize;kirill_lavrov;haswonprize;order_of_lenin;;;;;;;;;;3.735969;3.6310499;1;1
borys_paton;haswonprize;order_of_the_red_banner_of_labour;borys_paton;haswonprize;order_of_lenin;borys_paton;graduatedfrom;kyiv_polytechnic_institute;;;;;;;4.08576;5.385158;1;2
mario_monicelli;haswonprize;david_di_donatello;mario_monicelli;created;big_deal_on_madonna_street;;;;;;;;;;6.0764546;5.5079317;1;1
remo_buess;isaffiliatedto;fc_basel;remo_buess;isaffiliatedto;fc_zürich;;;;;;;;;;4.647263;5.1434274;1;6
frank_mckenna_(footballer);isaffiliatedto;fall_river_marksmen;frank_mckenna_(footballer);isaffiliatedto;new_york_nationals_(asl);;;;;;;;;;4.3674126;4.7974916;1;2
dixie_dean;isaffiliatedto;tranmere_rovers_f.c.;dixie_dean;playsfor;tranmere_rovers_f.c.;dixie_dean;isaffiliatedto;notts_county_f.c.;;;;;;;4.642655;5.4086967;1;1
attila_kuttor;isaffiliatedto;mtk_budapest_fc;attila_kuttor;isaffiliatedto;hungary_national_football_team;attila_kuttor;wasbornin;miskolc;;;;;;;3.5598722;4.373264;1;14
jim_mckenzie_(ice_hockey_b._1969);isaffiliatedto;phoenix_coyotes;jim_mckenzie_(ice_hockey_b._1969);isaffiliatedto;washington_capitals;;;;;;;;;;4.8719063;3.9634688;1;4
kate_gill;isaffiliatedto;perth_glory_fc_w-league;kate_gill;isaffiliatedto;aik_fotboll_dam;kate_gill;playsfor;perth_glory_fc_w-league;;;;;;;5.4273906;6.9881067;1;24
stanislav_šesták;isaffiliatedto;slovakia_national_under-21_football_team;stanislav_šesták;hasgender;male;stanislav_šesták;isaffiliatedto;bursaspor;;;;;;;5.0759315;6.0338473;1;25
michal_daněk;isaffiliatedto;fc_baník_ostrava;michal_daněk;playsfor;fc_baník_ostrava;michal_daněk;isaffiliatedto;czech_republic_national_under-17_football_team;;;;;;;4.069955;4.838616;1;5
alex_tayo_akande;isaffiliatedto;eastern_aa;alex_tayo_akande;hasgender;male;alex_tayo_akande;isaffiliatedto;hong_kong_rangers_fc;;;;;;;5.3174815;5.660371;1;2
ney_costa;isaffiliatedto;c.d.s._vida;ney_costa;playsfor;comercial_futebol_clube_(ribeirão_preto);ney_costa;isaffiliatedto;atlético_olanchano;ney_costa;playsfor;c.d.s._vida;;;;5.7281227;5.9884186;1;6
josh_sole;isaffiliatedto;rugby_viadana;josh_sole;playsfor;rugby_viadana;josh_sole;isaffiliatedto;zebre;;;;;;;6.5135746;9.007976;1;3
josé_manfredi_portillo_hernández;isaffiliatedto;c.d._vista_hermosa;josé_manfredi_portillo_hernández;isaffiliatedto;el_salvador_national_under-20_football_team;;;;;;;;;;5.177749;5.2273874;1;12
danijel_brezič;isaffiliatedto;slovenia_national_football_team;danijel_brezič;isaffiliatedto;nd_mura_05;;;;;;;;;;4.3086843;3.8272147;1;1
stopira;isaffiliatedto;c.d._santa_clara;stopira;playsfor;c.d._santa_clara;;;;;;;;;;4.920954;6.774428;1;20
vladislav_romanov;isaffiliatedto;pfc_slavia_sofia;vladislav_romanov;isaffiliatedto;pfc_lokomotiv_sofia;;;;;;;;;;4.217931;4.2160354;1;1
nerijus_barasa;isaffiliatedto;lithuania_national_football_team;nerijus_barasa;isaffiliatedto;fk_atlantas;;;;;;;;;;5.2594547;4.934945;1;4
miroslav_vajs;isaffiliatedto;macedonia_national_football_team;miroslav_vajs;playsfor;fk_metalurg_skopje;;;;;;;;;;3.6759133;4.1237316;1;1
arash_borhani;isaffiliatedto;iran_national_football_team;arash_borhani;isaffiliatedto;al-nasr_sc_(dubai);;;;;;;;;;5.1560864;5.397696;1;1
donald_w._riegle_jr.;isaffiliatedto;republican_party_(united_states);donald_w._riegle_jr.;graduatedfrom;western_michigan_university;;;;;;;;;;5.297489;6.51168;1;1
jürgen_habermas;isinterestedin;political_philosophy;wilhelm_dilthey;influences;jürgen_habermas;;;;;;;;;;4.5015597;4.241069;1;1
