charles_craig;donated_to;santa_barbara_museum_of_art;carl_cuthe;donated_to;santa_barbara_museum_of_art;carl_cuthe;donated_to;santa_barbara_museum_of_art;;;;;;;;;;0.005975014995783567;0.9873537421226501;23;1
miho_museum;bought_from;noriyoshi_horiuchi;free_ports;bought_from;noriyoshi_horiuchi;free_ports;bought_from;noriyoshi_horiuchi;;;;;;;;;;0.00037007054197601974;0.9947841763496399;2284;1
butterfields;bought_from;ong_soo_hin;khaled_el-enani;bought_from;ong_soo_hin;khaled_el-enani;bought_from;ong_soo_hin;;;;;;;;;;0.0003688801662065089;0.9954392313957214;596;1
dr_pradip_meshram;worked_with;police;russian_billionaire;worked_with;police;;;;;;;;;;;;;0.0006793260108679533;0.004094496835023165;458;8
christian_boursaud;owned;hydra_gallery;rembrandt_van_rijn;owned;hydra_gallery;rembrandt_van_rijn;owned;hydra_gallery;hydra_gallery;belonged_to;rembrandt_van_rijn;giacomo_medici;partnered;rembrandt_van_rijn;;;;0.02041463740170002;0.9936956763267517;7;1
museum_of_primitive_art;bought_from;leon_j_buki;david_bernstein;bought_from;leon_j_buki;david_bernstein;bought_from;leon_j_buki;;;;;;;;;;0.007901742123067379;0.9954091906547546;22;1
british_museum;bought_from;alistair_mcalpine;victoria_and_albert_museum;bought_from;alistair_mcalpine;victoria_and_albert_museum;bought_from;alistair_mcalpine;;;;;;;;;;0.0009124628268182278;0.9853537082672119;153;1
j_paul_getty_museum;bought_from;robin_symes;charles_craig;bought_from;robin_symes;charles_craig;bought_from;robin_symes;;;;;;;;;;0.0006645175744779408;0.9910921454429626;2023;1
boston_museum_of_fine_arts;bought_from;robert_hecht;richard_blumenthal;bought_from;robert_hecht;robert_hecht;sold_antiquities_to;richard_blumenthal;richard_blumenthal;bought_from;robert_hecht;richard_blumenthal;bought_from;giacomo_medici;robert_p_mitchell;worked_for;richard_blumenthal;0.00022234702191781253;0.99660325050354;2585;1
giacomo_medici;owned;geneva-based_editions_services;tuesday_auction_;owned;geneva-based_editions_services;tuesday_auction_;owned;geneva-based_editions_services;;;;;;;;;;0.004200095310807228;0.9914078116416931;23;1
thomas_bruce_7th_earl_of_elgin;sold_to;british_government;three_men;sold_to;british_government;three_men;sold_to;british_government;;;;;;;;;;0.002247151918709278;0.9967240691184998;195;1
metropolitan_museum_of_art;bought_from;alan_c_lapiner;masters;bought_from;alan_c_lapiner;masters;bought_from;leon_j_buki;;;;;;;;;;0.0018592815613374114;0.01022564247250557;57;4
giacomo_medici;owned;mat_securitas;domingo_s√�nchez;owned;mat_securitas;domingo_s√�nchez;owned;mat_securitas;;;;;;;;;;0.01240983884781599;0.9936472773551941;22;1
museum_of_primitive_art;bought_from;alan_c_lapiner;metropolitan_police_service;bought_from;alan_c_lapiner;metropolitan_police_service;bought_from;alan_c_lapiner;;;;;;;;;;0.004712036345154047;0.9908875226974487;16;1
