billy_halop;actedin;hell's_kitchen_(1939_film);lewis_seiler;directed;hell's_kitchen_(1939_film);11.186914;1;11.481182;1;-0.6954721735860956
laotian_civil_war;happenedin;north_vietnam;united_states;participatedin;laotian_civil_war;9.956245;1;10.175055;1;-6.201668955395755
rosalyn_sussman_yalow;haswonprize;albert_lasker_award_for_basic_medical_research;sydney_brenner;haswonprize;albert_lasker_award_for_basic_medical_research;9.098927;1;9.4484625;1;-2.5861220290649856
rekha;haswonprize;filmfare_awards;arjun_rampal;haswonprize;filmfare_awards;9.715781;1;10.059354;1;-1.4816022793779389
juan_povedano_martínez;isaffiliatedto;umf_selfoss;juan_povedano_martínez;playsfor;umf_selfoss;9.208758;1;-3.3424773;103328;-1.045769118081131
gergő_jeremiás;isaffiliatedto;rákospalotai_eac;tibor_pomper;playsfor;rákospalotai_eac;9.692066;1;9.388622;1;-2.5631853627342256
anthony_charles;isaffiliatedto;barnet_f.c.;andy_hessenthaler;playsfor;barnet_f.c.;9.982346;1;9.986372;1;-2.010141795108982
doug_gilmour;isaffiliatedto;toronto_maple_leafs;garnet_exelby;isaffiliatedto;toronto_maple_leafs;7.3466187;1;7.380167;1;-9.743492685486125
davide_succi;isaffiliatedto;a.c._cesena;ahmed_guilouzi;playsfor;a.c._cesena;9.905563;1;9.881888;1;-4.106691215854886
petar_borota;isaffiliatedto;f.c._porto;josué_pesqueira;playsfor;f.c._porto;9.646546;1;9.850786;1;-5.532190237206284
paulo_sérgio_betanin;isaffiliatedto;e.c._juventude;reinaldo_vicente_simão;isaffiliatedto;e.c._juventude;6.8070574;1;6.2863665;1;-34.37472970915748
joe_allon;isaffiliatedto;port_vale_f.c.;ray_kennedy;playsfor;port_vale_f.c.;10.007121;1;9.94659;1;-9.226399278087229
lorgio_álvarez;isaffiliatedto;bolivia_national_football_team;ramiro_castillo;isaffiliatedto;bolivia_national_football_team;7.527168;1;7.848633;1;-1.4451718759747545
yaroslav_svorak;isaffiliatedto;fc_krymteplytsia_molodizhne;oleh_lutkov;isaffiliatedto;fc_krymteplytsia_molodizhne;9.899031;1;9.846054;1;-0.5315739245901607
manfred_schwabl;isaffiliatedto;1._fc_nuremberg;alois_reinhardt;isaffiliatedto;1._fc_nuremberg;8.36265;1;8.502098;1;-1.6781755742097408
gábor_bardi;isaffiliatedto;zalaegerszegi_te;ciprian_dianu;isaffiliatedto;zalaegerszegi_te;9.410546;1;9.632832;1;-3.3347506697401905
imre_deme;isaffiliatedto;hungary_national_under-21_football_team;levente_schultz;playsfor;hungary_national_under-21_football_team;9.084056;1;9.522594;1;-8.543737408143237
kevin_mcleod;isaffiliatedto;swansea_city_a.f.c.;jon_brady;playsfor;swansea_city_a.f.c.;10.128949;1;10.143163;1;-4.546820635968501
andrea_esposito;isaffiliatedto;u.s._lecce;elvis_abbruscato;isaffiliatedto;u.s._lecce;9.867696;1;10.149463;1;-3.2271237625390885
diego_scotti;isaffiliatedto;club_olimpia;casiano_delvalle;playsfor;club_olimpia;10.082614;1;10.066078;1;-8.265923341392178
jirès_kembo_ekoko;isaffiliatedto;al_ain_fc;mutaz_abdulla;playsfor;al_ain_fc;9.140924;1;9.319635;1;-6.109664262260205
nicole_barnhart;isaffiliatedto;united_states_women's_national_soccer_team;tiffeny_milbrett;playsfor;united_states_women's_national_soccer_team;10.029227;1;9.819444;1;-5.542252839397143
ryan_johnson_(soccer);isaffiliatedto;toronto_fc;chad_barrett;isaffiliatedto;toronto_fc;8.11527;1;8.119799;1;-4.471203781060804
bobby_campbell_(scottish_footballer);isaffiliatedto;chelsea_f.c.;bob_whittingham;playsfor;chelsea_f.c.;9.461398;1;9.407614;1;-31.539950936164864
héctor_scarone;isaffiliatedto;uruguay_national_football_team;óscar_javier_morales;playsfor;uruguay_national_football_team;8.9994335;1;9.229998;1;-11.11796944621062
raúl_enrique_estévez;isaffiliatedto;unión_española;matías_masiero;isaffiliatedto;unión_española;9.608419;1;9.826485;1;-5.4665767562561705
attila_polonkai;isaffiliatedto;videoton_fc;martin_kayongo-mutumba;playsfor;videoton_fc;9.833284;1;10.221905;1;-2.961594813043947
mario_esteban_berríos;isaffiliatedto;coquimbo_unido;diego_rosende;isaffiliatedto;coquimbo_unido;9.640746;1;10.05592;1;-2.7173208686698347
fumaça_(footballer_born_1976);isaffiliatedto;barnsley_f.c.;sean_mcclare;isaffiliatedto;barnsley_f.c.;9.964664;1;10.193382;1;-0.0245754538654821
markus_heppke;isaffiliatedto;rot-weiss_essen;spase_dilevski;playsfor;rot-weiss_essen;9.501044;1;9.685839;1;-12.348583013781719
steven_n'zonzi;isaffiliatedto;amiens_sc;issiar_dia;playsfor;amiens_sc;9.71572;1;10.112266;1;-1.0111714594777634
phil_harrington;isaffiliatedto;chester_city_f.c.;noel_bradley;playsfor;chester_city_f.c.;10.140457;1;10.018594;1;-3.5121366045744082
jürgen_macho;isaffiliatedto;chelsea_f.c.;nathan_aké;isaffiliatedto;chelsea_f.c.;9.630463;1;9.776441;1;-9.896852516382522
félix_ricardo_torres;isaffiliatedto;club_atlético_platense;julio_cozzi;playsfor;club_atlético_platense;9.947815;1;9.947309;1;-3.863256939388096
janício_martins;isaffiliatedto;s.c.u._torreense;vata_matanu_garcia;isaffiliatedto;s.c.u._torreense;9.259438;1;9.486659;1;-8.128828487764029
ahmad_momenzadeh;isaffiliatedto;foolad_f.c.;mahmud_qurbanov;playsfor;foolad_f.c.;10.091197;1;10.074894;1;-2.0553334152559444
césar_pellegrín;isaffiliatedto;deportivo_maldonado;julio_pablo_rodríguez;playsfor;deportivo_maldonado;9.972744;1;10.014617;1;-2.7161820225781548
tyrone_marshall;isaffiliatedto;jamaica_national_football_team;chris_humphrey;playsfor;jamaica_national_football_team;9.91627;1;9.825414;1;-119.44783857394899
darnell_mee;isaffiliatedto;continental_basketball_association;craig_hodges;isaffiliatedto;continental_basketball_association;8.506555;1;9.062649;1;-16.728480163653916
tetsuya_asano;isaffiliatedto;nagoya_grampus;josé_alberto_costa;isaffiliatedto;nagoya_grampus;9.842428;1;9.829229;1;-6.538789887322711
dado_pršo;isaffiliatedto;nk_pazinka;igor_pamić;playsfor;nk_pazinka;9.456441;1;9.186043;1;-0.7325804724649151
alan_sunderland;isaffiliatedto;england_national_football_b_team;danny_wallace_(footballer);isaffiliatedto;england_national_football_b_team;9.534369;1;9.204258;1;-2.8596442310143577
gérald_passi;isaffiliatedto;montpellier_hsc;karim_aït-fana;playsfor;montpellier_hsc;9.810757;1;10.0731;1;-34.15599934595509
thomas_kleine;isaffiliatedto;germany_national_football_b_team;roland_benschneider;playsfor;germany_national_football_b_team;9.051148;1;8.813999;1;-334.3480661325075
santiago_cañizares;isaffiliatedto;spain_national_football_team;rafael_paz;isaffiliatedto;spain_national_football_team;8.723984;1;8.539836;1;-5.094503286782441
mariusz_ujek;isaffiliatedto;zagłębie_sosnowiec;hadis_zubanović;playsfor;zagłębie_sosnowiec;10.11274;1;10.2520685;1;-8.732098958930047
róbert_vittek;isaffiliatedto;1._fc_nuremberg;jan_kristiansen;isaffiliatedto;1._fc_nuremberg;8.830595;1;9.024443;1;-1.7736887706379718
jordy_clasie;isaffiliatedto;feyenoord;john_goossens;isaffiliatedto;feyenoord;9.742213;1;9.79396;1;-6.395846083718803
abdikokhor_marifaliev;isaffiliatedto;navbahor_namangan;elshan_gambarov;playsfor;navbahor_namangan;9.579206;1;9.599257;1;-7.161475578245497
colorado_springs_airport;isconnectedto;salt_lake_city_international_airport;fresno_yosemite_international_airport;isconnectedto;salt_lake_city_international_airport;10.0493765;1;9.900318;1;-1.7835253260540167
saint-augustin_airport;isconnectedto;tête-à-la-baleine_airport;la_romaine_airport;isconnectedto;tête-à-la-baleine_airport;10.340551;1;9.876322;2;-6.274897124935805
jürgen_habermas;isinterestedin;political_philosophy;hans-georg_gadamer;influences;jürgen_habermas;11.660901;1;12.6261015;1;-7.319330451829704
maitland_florida;islocatedin;florida;martin_county_(florida);islocatedin;florida;8.905705;1;8.815958;1;-2.9628718397898695
naughty_dog;islocatedin;california;sony;owns;naughty_dog;7.941422;1;7.1236835;2;-1.9880904158750945
penarth;islocatedin;wales;cardiff_rfc;islocatedin;wales;9.030945;1;8.82289;1;-48.30525058218055
wallace_mccain;livesin;ontario;dufferin_county;islocatedin;ontario;8.378553;1;8.223484;1;-16.384787909852943
republic_of_genoa;participatedin;battle_of_crécy;kingdom_of_navarre;participatedin;battle_of_crécy;11.954094;1;10.999128;1;-1.985109786424039
mauricio_almada;playsfor;deportivo_merlo;antonio_barijho;playsfor;deportivo_merlo;10.091831;1;9.412541;1;-3.8694524017517398
cristian_ianu;playsfor;fc_wohlen;oliver_maric;isaffiliatedto;fc_wohlen;10.176417;1;9.925955;1;-1.1271214976840147
mevlüt_erdinç;playsfor;paris_saint-germain_f.c.;claude_makélélé;playsfor;paris_saint-germain_f.c.;9.92828;1;10.198335;1;-1018.4373957404584
wim_suurbier;playsfor;afc_ajax;albert_luque;isaffiliatedto;afc_ajax;10.157594;1;10.140412;1;-2.563148842241165
alan_o'neill_(footballer_born_1957);playsfor;shamrock_rovers_f.c.;harry_kenny;playsfor;shamrock_rovers_f.c.;10.659566;1;10.286399;1;-18.113422564427335
martin_kayongo-mutumba;playsfor;uganda_national_football_team;geofrey_massa;isaffiliatedto;uganda_national_football_team;9.590147;1;9.685879;2;-4.7551259692731795
yakubu_abubakar_akilu;playsfor;fc_hjørring;mikkel_rask;isaffiliatedto;fc_hjørring;9.597553;1;9.450874;1;-10.360886668105707
darijan_matič;playsfor;bnei_sakhnin_f.c.;dekel_keinan;isaffiliatedto;bnei_sakhnin_f.c.;10.221523;1;10.246113;1;-33.43233318382001
léider_preciado;playsfor;racing_de_santander;aldo_duscher;isaffiliatedto;racing_de_santander;10.647223;1;10.523837;1;-38.91311297223952
srdjan_luchin;playsfor;romania_national_football_team;ionel_ganea;isaffiliatedto;romania_national_football_team;9.221161;1;9.0210705;1;-11.83749214234873
jody_morris;playsfor;millwall_f.c.;rob_hulse;isaffiliatedto;millwall_f.c.;10.275754;1;10.178779;1;-3.2898102723089155
laryea_kingston;playsfor;heart_of_midlothian_f.c.;john_robertson_(footballer_born_1964);playsfor;heart_of_midlothian_f.c.;10.243646;1;9.979566;1;-24.63332533622588
christian_mcclean;playsfor;swansea_city_a.f.c.;david_d'auria;isaffiliatedto;swansea_city_a.f.c.;10.07344;1;10.016611;1;-1.6753657080588713
ian_bogie;playsfor;bedlington_terriers_f.c.;andy_ferrell;playsfor;bedlington_terriers_f.c.;9.551779;1;9.8663645;1;-3.582239215756374
stu_riddle;playsfor;greenock_morton_f.c.;kieran_mcanespie;playsfor;greenock_morton_f.c.;10.005321;1;10.240912;1;-6.221295507949339
chris_sulley;playsfor;dundee_united_f.c.;grant_brebner;playsfor;dundee_united_f.c.;9.927814;1;10.468063;1;-3.201441482730247
dean_gordon;playsfor;crystal_palace_f.c.;johnny_mcnichol;isaffiliatedto;crystal_palace_f.c.;10.391139;1;10.265997;1;-21.656965514840465
sergey_timofeev;playsfor;fc_kyzylzhar;rafael_urazbakhtin;playsfor;fc_kyzylzhar;10.048546;1;10.154543;1;-1.132940551710119
lukáš_magera;playsfor;sk_kladno;tomáš_klinka;isaffiliatedto;sk_kladno;10.1834955;1;9.9077015;1;-1.9178043201061723
andrea_orlandi;playsfor;fc_barcelona;albert_celades;playsfor;fc_barcelona;9.749051;1;9.622094;1;-8.036408468183366
chris_turner_(footballer_born_1990);playsfor;burnley_f.c.;micah_hyde_(footballer);isaffiliatedto;burnley_f.c.;10.17964;1;10.233411;1;-15.97762165973187
mykhaylo_forkash;playsfor;fc_zorya_luhansk;ihor_leonov;playsfor;fc_zorya_luhansk;9.840891;1;10.070753;1;-14.655411467415163
grzegorz_podstawek;playsfor;kszo_ostrowiec_świętokrzyski;kelechi_iheanacho_zeal;isaffiliatedto;kszo_ostrowiec_świętokrzyski;9.472238;1;9.897915;1;-2.749919913335994
azar_karadas;playsfor;kasımpaşa_spor_kulübü;alpaslan_öztürk;isaffiliatedto;kasımpaşa_spor_kulübü;10.184913;1;9.665649;1;-1.2373838968962487
derek_mcwilliams;playsfor;airdrieonians_f.c._(1878);justin_fashanu;isaffiliatedto;airdrieonians_f.c._(1878);10.39512;1;10.489058;1;-1.61839100793375
vedran_celiščak;playsfor;dalian_shide_f.c.;adílson_dos_santos;playsfor;dalian_shide_f.c.;10.117927;1;10.282663;1;-28.04819427406256
steve_mautone;playsfor;canberra_cosmos_fc;john_markovski;isaffiliatedto;canberra_cosmos_fc;10.125108;1;9.964675;1;-3.719610606139671
kieran_charnock;playsfor;peterborough_united_f.c.;jake_livermore;playsfor;peterborough_united_f.c.;10.298274;1;10.26182;1;-1.1204408374101893
dedi_ben_dayan;playsfor;maccabi_tel_aviv_f.c.;rade_prica;playsfor;maccabi_tel_aviv_f.c.;10.356521;1;10.135889;1;-9.054784565617425
mike_twellman;playsfor;dallas_sidekicks_(1984–2004);terry_cochrane;isaffiliatedto;dallas_sidekicks_(1984–2004);9.939923;1;9.825322;1;-30.798242341779797
marc_wilson_(irish_footballer);playsfor;a.f.c._bournemouth;louis_bimpson;isaffiliatedto;a.f.c._bournemouth;10.185992;1;10.405504;1;-25.915027937699602
vlatko_đolonga;playsfor;deportivo_alavés;jiří_jarošík;playsfor;deportivo_alavés;10.174706;1;10.027937;2;-4.355216646624696
feridun_sungur;playsfor;elazığspor;hervé_tum;playsfor;elazığspor;9.424069;1;9.50391;1;-14.46422605615869
sven_benken;playsfor;f.c._hansa_rostock;marcus_allbäck;isaffiliatedto;f.c._hansa_rostock;10.275907;1;10.403773;1;-0.29085034185356917
rené_bot;playsfor;feyenoord;mauricio_aros;isaffiliatedto;feyenoord;10.088839;1;9.697171;1;-2.486342855800633
luke_steele_(footballer);playsfor;barnsley_f.c.;bert_barlow;isaffiliatedto;barnsley_f.c.;10.241514;1;10.51761;1;-10.213754516290184
