moe_howard;actedin;income_tax_sappy;moe_howard;actedin;boobs_in_arms;moe_howard;actedin;all_gummed_up;moe_howard;actedin;pardon_my_scotch;moe_howard;actedin;bedlam_in_paradise;3.2985961;2.8131926;1;2
george_scratchley_brown;diedin;bethesda;george_scratchley_brown;haswonprize;croix_de_guerre_1939–1945_(france);george_scratchley_brown;hasgender;male;george_scratchley_brown;wasbornin;montclair_new_jersey;;;;6.859623;8.554218;1;2
aleksei_yuryevich_german;diedin;saint_petersburg;aleksei_yuryevich_german;wasbornin;saint_petersburg;;;;;;;;;;8.26177;10.375771;1;1
joseph_bologna;directed;love_is_all_there_is;joseph_bologna;created;love_is_all_there_is;;;;;;;;;;6.5187855;6.8916035;1;2
roscoe_b._woodruff;haswonprize;distinguished_service_medal;roscoe_b._woodruff;haswonprize;bronze_star_medal;roscoe_b._woodruff;haswonprize;legion_of_merit;;;;;;;3.8657112;4.697449;1;1
henry_fonda;haswonprize;academy_award_for_best_actor;henry_fonda;haswonprize;tony_award;;;;;;;;;;4.717474;3.8102746;1;1
kirill_lavrov;haswonprize;ussr_state_prize;kirill_lavrov;diedin;saint_petersburg;kirill_lavrov;haswonprize;lenin_prize;;;;;;;3.735969;4.179583;1;1
borys_paton;haswonprize;order_of_the_red_banner_of_labour;borys_paton;haswonprize;ussr_state_prize;;;;;;;;;;4.08576;5.529211;1;2
mario_monicelli;haswonprize;david_di_donatello;mario_monicelli;directed;i_nuovi_mostri;mario_monicelli;actedin;my_friends_(film);;;;;;;6.0764546;5.6837363;1;1
errol_mcfarlane;isaffiliatedto;al-mabarrah;errol_mcfarlane;playsfor;san_juan_jabloteh_f.c.;;;;;;;;;;5.9085827;7.08223;1;13
remo_buess;isaffiliatedto;fc_basel;remo_buess;isaffiliatedto;neuchâtel_xamax;remo_buess;wasbornin;basel;remo_buess;isaffiliatedto;switzerland_national_football_team;remo_buess;isaffiliatedto;brisbane_roar_fc;4.647263;6.2833433;1;8
maniche;isaffiliatedto;portugal_national_football_team;maniche;isaffiliatedto;1._fc_cologne;;;;;;;;;;4.9122047;5.1230173;1;1
hector_sam;isaffiliatedto;notts_county_f.c.;hector_sam;playsfor;notts_county_f.c.;hector_sam;playsfor;walsall_f.c.;;;;;;;6.160883;7.4459453;1;42
frank_mckenna_(footballer);isaffiliatedto;fall_river_marksmen;frank_mckenna_(footballer);playsfor;fall_river_marksmen;frank_mckenna_(footballer);isaffiliatedto;providence_f.c.;frank_mckenna_(footballer);playsfor;bethlehem_steel_f.c.;frank_mckenna_(footballer);playsfor;providence_f.c.;4.3674126;5.2630105;1;1
dixie_dean;isaffiliatedto;tranmere_rovers_f.c.;dixie_dean;isaffiliatedto;sligo_rovers_f.c.;dixie_dean;playsfor;sligo_rovers_f.c.;;;;;;;4.642655;4.4417543;1;1
luis_enrique_(footballer);isaffiliatedto;spain_national_under-21_football_team;luis_enrique_(footballer);hasgender;male;;;;;;;;;;3.423665;5.0058327;1;8
ahmet_kuru;isaffiliatedto;fc_st._pauli;ahmet_kuru;isaffiliatedto;eintracht_braunschweig;;;;;;;;;;5.240331;6.4963913;1;90
daniel_xuereb;isaffiliatedto;france_national_football_team;daniel_xuereb;isaffiliatedto;montpellier_h.s.c.;;;;;;;;;;3.34442;2.6891723;1;1
vasyl_sachko;isaffiliatedto;s.k._tavriya_simferopol;vasyl_sachko;playsfor;fc_kryvbas_kryvyi_rih;vasyl_sachko;playsfor;sc_tavriya_simferopol;;;;;;;4.8767285;5.789803;1;2
attila_kuttor;isaffiliatedto;mtk_budapest_fc;attila_kuttor;isaffiliatedto;hungary_national_football_team;attila_kuttor;hasgender;male;;;;;;;3.5598722;5.37103;1;19
rasmus_elm;isaffiliatedto;sweden_national_football_team;rasmus_elm;playsfor;sweden_national_under-17_football_team;rasmus_elm;isaffiliatedto;kalmar_ff;;;;;;;5.7192216;5.7145596;1;1
jim_mckenzie_(ice_hockey_b._1969);isaffiliatedto;phoenix_coyotes;jim_mckenzie_(ice_hockey_b._1969);isaffiliatedto;anaheim_ducks;;;;;;;;;;4.8719063;4.908804;1;14
kate_gill;isaffiliatedto;perth_glory_fc_w-league;kate_gill;playsfor;perth_glory_fc_w-league;kate_gill;playsfor;australia_women's_national_association_football_team;;;;;;;5.4273906;6.0539737;1;7
al_wood;isaffiliatedto;seattle_supersonics;al_wood;isaffiliatedto;wisconsin_flyers;;;;;;;;;;5.2848625;5.846846;1;21
