00464513;_also_see;01430111;01430111;_also_see;00464513;04821277;_derivationally_related_form;00464513;00464513;_also_see;01925372;;;;9.611473;0.32017195;1;7377
00583239;_also_see;00346991;00583239;_also_see;02290998;00346991;_also_see;00583239;00583239;_also_see;02505716;;;;9.626782;6.794439;1;3
00644372;_also_see;01688271;00644372;_also_see;01866535;01688271;_also_see;00644372;;;;;;;10.076052;-0.20009188;1;14403
01896478;_also_see;00921014;00921014;_also_see;01896478;01896478;_derivationally_related_form;01789514;01789514;_derivationally_related_form;01896478;;;;9.713631;0.6396767;1;1414
02397637;_derivationally_related_form;00373544;00373544;_derivationally_related_form;02397637;02397637;_derivationally_related_form;07251984;02397637;_derivationally_related_form;00198451;;;;9.241484;5.7473645;1;4
01158872;_derivationally_related_form;00949134;01158872;_derivationally_related_form;10741590;01158872;_derivationally_related_form;00947128;01158872;_derivationally_related_form;10743124;;;;9.161072;9.36161;1;4
06880664;_derivationally_related_form;00135285;06880664;_derivationally_related_form;00624263;00624263;_derivationally_related_form;06880664;06882333;_hypernym;06880664;;;;9.834574;9.7902565;1;1
06183899;_derivationally_related_form;10705615;10705615;_derivationally_related_form;06183899;06183899;_hypernym;05661996;;;;;;;8.956772;3.402494;1;17
01057034;_derivationally_related_form;01253379;01057034;_hypernym;00778275;;;;;;;;;;10.796273;11.006538;1;1
01602318;_derivationally_related_form;14002279;14002279;_derivationally_related_form;01602318;01602318;_derivationally_related_form;02152212;02673134;_verb_group;01602318;;;;9.942369;7.965127;1;2
03472232;_derivationally_related_form;00099721;00100551;_derivationally_related_form;03472232;03472232;_derivationally_related_form;00100551;00099721;_derivationally_related_form;03472232;;;;9.993753;1.7638946;1;116
01822724;_derivationally_related_form;13811900;01822724;_hypernym;01771535;01822724;_derivationally_related_form;10686073;13811900;_derivationally_related_form;01822724;;;;10.322002;-2.3381226;1;40824
07270179;_derivationally_related_form;00508032;00508032;_derivationally_related_form;07270179;07270179;_derivationally_related_form;01588493;07270179;_derivationally_related_form;00651991;;;;9.288733;5.276575;1;8
05148699;_derivationally_related_form;02495922;05151088;_hypernym;05148699;05149695;_hypernym;05148699;05148699;_derivationally_related_form;01158872;;;;9.436148;9.797203;1;1
01754105;_derivationally_related_form;00113113;00113113;_derivationally_related_form;01754105;01754105;_derivationally_related_form;03999992;;;;;;;9.097688;-0.9703622;1;31208
04096848;_derivationally_related_form;01127075;01127075;_derivationally_related_form;04096848;04096848;_hypernym;02796623;04096848;_derivationally_related_form;01127215;;;;9.830212;8.603781;1;2
01628197;_derivationally_related_form;03433877;01867295;_derivationally_related_form;01628197;01628197;_derivationally_related_form;01867295;01628197;_derivationally_related_form;00922144;;;;9.991579;10.464745;1;1
01031256;_derivationally_related_form;00318186;01031256;_derivationally_related_form;06796119;01031256;_derivationally_related_form;00122338;01031256;_derivationally_related_form;10578762;;;;9.45727;9.280149;1;2
01687569;_derivationally_related_form;05844105;05844105;_derivationally_related_form;01687569;01687569;_derivationally_related_form;04928903;01687569;_derivationally_related_form;01159964;;;;9.408189;7.1275797;1;3
01432474;_derivationally_related_form;05301908;01432474;_derivationally_related_form;05302499;05301908;_derivationally_related_form;01432474;;;;;;;9.727442;7.2465796;1;2
