00464962;_also_see;01430847;01430847;_also_see;00464962;10.202566;1;[11.104395];[10.528292];[0.5761032]
00464962;_also_see;01430847;00464962;_also_see;01926376;10.202566;1;[11.535102];[11.115385];[0.41971684]
00464962;_also_see;01430847;01926376;_also_see;00464962;10.202566;1;[11.332098];[10.918825];[0.41327286]
00464962;_also_see;01430847;00464962;_derivationally_related_form;14418103;10.202566;1;[11.5887];[11.290852];[0.2978487]
00464962;_also_see;01430847;00464962;_derivationally_related_form;06608977;10.202566;1;[11.684639];[11.396468];[0.2881708]
00464962;_also_see;01430847;06608977;_derivationally_related_form;00464962;10.202566;1;[11.716881];[11.428606];[0.28827477]
00464962;_also_see;01430847;14418103;_derivationally_related_form;00464962;10.202566;1;[11.634443];[11.33684];[0.2976036]
01642437;_derivationally_related_form;00240184;00240184;_derivationally_related_form;01642437;9.890325;1;[9.859854];[9.294529];[0.5653248]
01642437;_derivationally_related_form;00240184;01642437;_hypernym;01641914;9.890325;1;[11.751356];[11.42407];[0.32728577]
01642437;_derivationally_related_form;00240184;01641914;_hyponym;01642437;9.890325;1;[10.532355];[10.231741];[0.30061436]
01642437;_derivationally_related_form;00240184;01642437;_derivationally_related_form;10434725;9.890325;1;[11.428456];[11.062265];[0.3661909]
01642437;_derivationally_related_form;00240184;10434725;_derivationally_related_form;01642437;9.890325;1;[11.402975];[11.037813];[0.3651619]
01642437;_derivationally_related_form;00240184;01642437;_hyponym;01645421;9.890325;1;[11.616587];[11.324224];[0.2923622]
01642437;_derivationally_related_form;00240184;01645421;_hypernym;01642437;9.890325;1;[12.7537155];[12.425346];[0.32836914]
00900070;_derivationally_related_form;00836236;00836236;_derivationally_related_form;00900070;10.878998;1;[10.795556];[10.160194];[0.6353617]
00900070;_derivationally_related_form;00836236;00900070;_hypernym;00899927;10.878998;1;[12.693007];[12.464853];[0.22815418]
00900070;_derivationally_related_form;00836236;00899927;_hyponym;00900070;10.878998;1;[11.674486];[11.467287];[0.2071991]
01015244;_derivationally_related_form;05823932;05823932;_derivationally_related_form;01015244;10.392114;1;[10.407198];[9.827145];[0.5800533]
01015244;_derivationally_related_form;05823932;01015244;_hypernym;00831651;10.392114;1;[11.185021];[10.889732];[0.29528904]
01015244;_derivationally_related_form;05823932;00831651;_hyponym;01015244;10.392114;1;[9.672608];[9.408476];[0.2641325]
01015244;_derivationally_related_form;05823932;01015244;_derivationally_related_form;06733939;10.392114;1;[11.525278];[11.280228];[0.24505043]
01015244;_derivationally_related_form;05823932;06733939;_derivationally_related_form;01015244;10.392114;1;[11.550626];[11.305857];[0.2447691]
01015244;_derivationally_related_form;05823932;01015244;_derivationally_related_form;10703905;10.392114;1;[11.04772];[10.799995];[0.24772453]
01015244;_derivationally_related_form;05823932;10703905;_derivationally_related_form;01015244;10.392114;1;[11.11139];[10.8644705];[0.24691963]
01015244;_derivationally_related_form;05823932;01015244;_synset_domain_topic_of;08441203;10.392114;1;[9.599888];[9.495262];[0.1046257]
01015244;_derivationally_related_form;05823932;08441203;_member_of_domain_topic;01015244;10.392114;1;[7.426315];[7.3332148];[0.09310007]
01015244;_derivationally_related_form;05823932;00820976;_hypernym;01015244;10.392114;1;[11.702609];[11.508703];[0.19390583]
01015244;_derivationally_related_form;05823932;06648207;_derivationally_related_form;01015244;10.392114;1;[11.400315];[11.155109];[0.24520588]
01015244;_derivationally_related_form;05823932;01015866;_hypernym;01015244;10.392114;1;[11.7659];[11.510912];[0.25498772]
