francisco_buyo;isaffiliatedto;spain_national_under-20_football_team;francisco_buyo;playsfor;spain_national_under-20_football_team;francisco_buyo;isaffiliatedto;spain_national_under-21_football_team;francisco_buyo;isaffiliatedto;spain_national_under-23_football_team;9.429634;1;16.56402;1;12.935366;9;8.974134881218271;3.393561840057373
harlan_coben;hasgender;male;harlan_coben;haswonprize;edgar_award;harlan_coben;iscitizenof;united_states;harlan_coben;wasbornin;newark_new_jersey;9.656787;1;6.433312;1;3.0116131;40;39.968375837480124;3.167752504348755
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;es_viry-châtillon;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.4545765;5;4.977920053705717;3.1873526573181152
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;pau_fc;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.726366;5;4.971222690801467;3.1871728897094727
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;es_viry-châtillon;camille_oponga;playsfor;pau_fc;9.867278;1;16.245335;1;12.8710785;5;4.966890216107589;3.1887786388397217
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;pacy_vallée-d'eure;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.461168;5;4.977777271547065;3.1876015663146973
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;es_viry-châtillon;camille_oponga;playsfor;pacy_vallée-d'eure;9.867278;1;16.245335;1;12.425387;5;4.978541602516799;3.1894710063934326
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;isaffiliatedto;a.s._cannes_football;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.420267;4;3.9786488547364267;3.188143014907837
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;es_viry-châtillon;camille_oponga;isaffiliatedto;a.s._cannes_football;9.867278;1;16.245335;1;12.623626;4;3.973959301326761;3.187748432159424
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;isaffiliatedto;falkirk_f.c.;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.891847;4;3.9662188683341864;3.197277784347534
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;isaffiliatedto;villemomble_sports;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.532806;4;3.976166202587578;3.201158046722412
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;es_viry-châtillon;camille_oponga;isaffiliatedto;falkirk_f.c.;9.867278;1;16.245335;1;12.910588;4;3.965601768920752;3.197657346725464
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;es_viry-châtillon;camille_oponga;isaffiliatedto;villemomble_sports;9.867278;1;16.245335;1;12.648798;4;3.9733131941827353;3.1938083171844482
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;isaffiliatedto;pau_fc;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.597709;4;3.9746086124393734;3.191746234893799
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;es_viry-châtillon;camille_oponga;isaffiliatedto;pau_fc;9.867278;1;16.245335;1;12.702478;4;3.9718828678819587;3.187605142593384
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;falkirk_f.c.;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.808897;5;4.968824096954906;3.188227653503418
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;pau_fc;camille_oponga;playsfor;pacy_vallée-d'eure;9.867278;1;16.245335;1;12.799233;5;4.969114656805216;3.1892895698547363
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;falkirk_f.c.;camille_oponga;playsfor;es_viry-châtillon;9.867278;1;16.245335;1;12.875809;5;4.966738450046888;3.1879639625549316
camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;pau_fc;camille_oponga;isaffiliatedto;a.s._cannes_football;9.867278;1;16.245335;1;12.847813;4;3.967627001010757;3.188656806945801
ilès_ziane_cherif;isaffiliatedto;mc_saïda;ilès_ziane_cherif;playsfor;mc_saïda;ilès_ziane_cherif;isaffiliatedto;usm_alger;ilès_ziane_cherif;isaffiliatedto;aso_chlef;9.922936;1;15.982647;1;13.31645;5;4.935002282898209;3.182631731033325
ilès_ziane_cherif;isaffiliatedto;mc_saïda;ilès_ziane_cherif;playsfor;mc_saïda;ilès_ziane_cherif;isaffiliatedto;usm_alger;ilès_ziane_cherif;isaffiliatedto;usm_el_harrach;9.922936;1;15.982647;1;13.391706;5;4.930276243266937;3.18363618850708
ilès_ziane_cherif;isaffiliatedto;mc_saïda;ilès_ziane_cherif;playsfor;mc_saïda;ilès_ziane_cherif;isaffiliatedto;usm_el_harrach;ilès_ziane_cherif;isaffiliatedto;aso_chlef;9.922936;1;15.982647;1;13.488964;5;4.923697776803884;3.1828224658966064
