šempeter_pri_gorici;islocatedin;slovenia;šempeter_pri_gorici;islocatedin;slovenian_littoral;andrej_komac;wasbornin;šempeter_pri_gorici;9.471641;1;12.318395;6;11.118994;12;6.768418190114067;3.189997434616089
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dnipro_dnipropetrovsk;vyacheslav_semyonov;isaffiliatedto;fc_dynamo_kyiv;8.514687;1;16.554758;1;16.48461;3;2.517529929143213;3.195756196975708
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;soviet_union_national_football_team;vyacheslav_semyonov;isaffiliatedto;fc_dynamo_kyiv;8.514687;1;16.554758;1;16.59641;3;2.489588335401699;3.1959359645843506
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;soviet_union_national_football_team;vyacheslav_semyonov;isaffiliatedto;fc_dnipro_dnipropetrovsk;8.514687;1;16.554758;1;16.702982;2;1.4630117263210476;3.1966888904571533
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;hasgender;male;vyacheslav_semyonov;isaffiliatedto;fc_dynamo_kyiv;8.514687;1;16.554758;1;15.819117;2;1.6760420335000343;3.218327522277832
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dnipro_dnipropetrovsk;vyacheslav_semyonov;hasgender;male;8.514687;1;16.554758;1;15.849892;2;1.6692658332682822;3.2160117626190186
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;playsfor;fc_dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dynamo_kyiv;8.514687;1;16.554758;1;14.675013;2;1.8675818894214993;3.200363874435425
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;playsfor;fc_dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dnipro_dnipropetrovsk;8.514687;1;16.554758;1;16.055414;2;1.6223051263180248;3.200606107711792
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;soviet_union_national_football_team;vyacheslav_semyonov;hasgender;male;8.514687;1;16.554758;1;15.953115;2;1.6460320192202738;3.220552921295166
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;playsfor;fc_dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;soviet_union_national_football_team;8.514687;1;16.554758;1;16.04398;2;1.6249889382217813;3.2010862827301025
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dynamo_kyiv;vyacheslav_semyonov;playsfor;fc_zorya_luhansk;8.514687;1;16.554758;1;16.32861;2;1.5562974197949335;3.201287031173706
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_cska_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dynamo_kyiv;8.514687;1;16.554758;1;16.353188;3;2.550222694277809;3.1978321075439453
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dnipro_dnipropetrovsk;vyacheslav_semyonov;playsfor;fc_zorya_luhansk;8.514687;1;16.554758;1;16.433252;2;1.530339117179878;3.203350782394409
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_cska_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dnipro_dnipropetrovsk;8.514687;1;16.554758;1;16.457796;3;2.5242215199441187;3.19918155670166
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dynamo_kyiv;vyacheslav_semyonov;playsfor;soviet_union_national_football_team;8.514687;1;16.554758;1;16.450869;2;1.5259490314934063;3.1986238956451416
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;fc_dnipro_dnipropetrovsk;vyacheslav_semyonov;playsfor;soviet_union_national_football_team;8.514687;1;16.554758;1;16.553087;2;1.5004177092534094;3.1983189582824707
vyacheslav_semyonov;isaffiliatedto;f.c._dynamo_kyiv;vyacheslav_semyonov;isaffiliatedto;soviet_union_national_football_team;vyacheslav_semyonov;playsfor;fc_zorya_luhansk;8.514687;1;16.554758;1;16.403246;2;1.5378057419891822;3.1989686489105225
martin_lane;isaffiliatedto;hinckley_united_f.c.;martin_lane;isaffiliatedto;worcester_city_f.c.;martin_lane;isaffiliatedto;coventry_city_f.c.;9.977607;1;17.000624;1;16.771935;3;2.5569244247333094;3.221242904663086
martin_lane;isaffiliatedto;hinckley_united_f.c.;martin_lane;isaffiliatedto;coventry_city_f.c.;martin_lane;isaffiliatedto;chester_city_f.c.;9.977607;1;17.000624;1;16.83577;3;2.5411204275743144;3.2200067043304443
martin_lane;isaffiliatedto;hinckley_united_f.c.;martin_lane;isaffiliatedto;walsall_f.c.;martin_lane;isaffiliatedto;coventry_city_f.c.;9.977607;1;17.000624;1;16.83245;3;2.5419443993242705;3.2240805625915527
