00464513;_also_see;01430111;01430111;_also_see;00464513;00464513;_also_see;01925372;;;;;;;9.611465;0.6821787;1;1445
00583239;_also_see;00346991;00583239;_also_see;02290998;;;;;;;;;;9.626777;9.734793;1;1
00644372;_also_see;01688271;00644372;_also_see;01866535;;;;;;;;;;10.0760565;10.30976;1;1
01896478;_also_see;00921014;00921014;_also_see;01896478;01789514;_derivationally_related_form;01896478;01896478;_derivationally_related_form;01789514;00794079;_derivationally_related_form;01896478;9.713633;-0.15526128;1;11869
02397637;_derivationally_related_form;00373544;02397637;_derivationally_related_form;13940456;;;;;;;;;;9.241494;9.2332735;1;1
01158872;_derivationally_related_form;00949134;01158872;_derivationally_related_form;00947128;;;;;;;;;;9.161069;9.158873;1;2
06880664;_derivationally_related_form;00135285;06880664;_derivationally_related_form;00624263;;;;;;;;;;9.834575;9.76982;1;1
06183899;_derivationally_related_form;10705615;10705615;_derivationally_related_form;06183899;;;;;;;;;;8.956778;3.2689962;1;21
01057034;_derivationally_related_form;01253379;01253379;_derivationally_related_form;01057034;;;;;;;;;;10.7962675;-2.4675233;1;40531
01602318;_derivationally_related_form;14002279;01602318;_derivationally_related_form;02152212;;;;;;;;;;9.942368;9.721691;1;2
03472232;_derivationally_related_form;00099721;03472232;_derivationally_related_form;00100551;;;;;;;;;;9.993754;9.862633;1;1
01822724;_derivationally_related_form;13811900;01822724;_derivationally_related_form;10686073;;;;;;;;;;10.322002;10.667128;1;1
07270179;_derivationally_related_form;00508032;07270179;_derivationally_related_form;01588493;;;;;;;;;;9.2887335;9.102282;1;2
05148699;_derivationally_related_form;02495922;02495922;_derivationally_related_form;05148699;05148699;_derivationally_related_form;01158872;;;;;;;9.436151;3.9838607;1;17
01754105;_derivationally_related_form;00113113;01754105;_derivationally_related_form;03999992;;;;;;;;;;9.097686;9.292538;1;2
01417451;_derivationally_related_form;00182406;00182406;_derivationally_related_form;01417451;;;;;;;;;;9.400383;1.258082;1;278
04096848;_derivationally_related_form;01127075;04096848;_derivationally_related_form;01127215;;;;;;;;;;9.830207;9.681819;1;2
01628197;_derivationally_related_form;03433877;01628197;_derivationally_related_form;00922144;;;;;;;;;;9.991586;9.985824;1;1
01031256;_derivationally_related_form;00318186;01031256;_derivationally_related_form;06796119;;;;;;;;;;9.457264;9.554297;1;1
01687569;_derivationally_related_form;05844105;01687569;_derivationally_related_form;05750163;;;;;;;;;;9.408194;9.214595;1;2
01432474;_derivationally_related_form;05301908;01432474;_derivationally_related_form;05302499;;;;;;;;;;9.727437;9.753009;1;1
09790482;_derivationally_related_form;00644583;00644583;_derivationally_related_form;09790482;;;;;;;;;;9.472306;5.168302;1;2
11447851;_derivationally_related_form;01874875;11447851;_derivationally_related_form;01902783;;;;;;;;;;9.849248;9.776981;1;1
00093327;_derivationally_related_form;00068617;00068617;_derivationally_related_form;00093327;00093327;_hypernym;00387310;;;;;;;9.900584;4.542376;1;5
03008207;_derivationally_related_form;14855724;14855724;_derivationally_related_form;03008207;;;;;;;;;;10.31653;-2.0202224;1;9928
06203758;_derivationally_related_form;10502950;10502950;_derivationally_related_form;06203758;06203758;_hypernym;06201908;;;;;;;10.707439;-5.5694795;1;35096
01134781;_derivationally_related_form;00122954;01134781;_derivationally_related_form;10593115;;;;;;;;;;9.763129;9.826831;1;2
01024190;_derivationally_related_form;06763681;01024190;_derivationally_related_form;06613056;;;;;;;;;;8.875243;8.729189;1;2
00007328;_derivationally_related_form;10803193;10803193;_derivationally_related_form;00007328;00007328;_derivationally_related_form;00837293;;;;;;;10.309784;-1.7057751;1;39539
10724699;_derivationally_related_form;01855155;10724699;_derivationally_related_form;02012344;;;;;;;;;;9.483914;9.410035;1;1
03800933;_derivationally_related_form;01707925;01707925;_derivationally_related_form;03800933;03800933;_derivationally_related_form;10340312;;;;;;;9.332565;1.166389;1;422
02704349;_derivationally_related_form;03735637;02704349;_derivationally_related_form;00996969;;;;;;;;;;9.18643;9.278848;1;2
00339085;_derivationally_related_form;00358089;00358089;_derivationally_related_form;00339085;00339085;_derivationally_related_form;03141702;;;;;;;9.511609;6.2162733;1;4
07411350;_derivationally_related_form;02033295;02033295;_derivationally_related_form;07411350;;;;;;;;;;9.809335;4.509544;1;19
01097500;_derivationally_related_form;15293590;01097500;_derivationally_related_form;10028765;;;;;;;;;;9.37954;9.202619;1;2
