abraham_trust;partnered;geoffrey_jenkinson;1;1
daniel_osmar_mendoza_dâˆšâ‰ az;occupation;cura_pâˆšâ°rroco;2400;2212
thomas_munson;worked_with;midwest_archeological_center;22;1322
thomas_munson;worked_with;midwest_regional_office_of_the_national_park_service;22;1742
rodney_kelly;occupation;educator;77;2199
peter_doig;sold_to;$25.9m;171;2550
archaeologist;sold_to;ebay;1303;3221
zane_wylie;worked_with;scientists;3086;2454
yoneh_mizrahi;stolen_from;dream_downtown_hotel;2509;385
ganesh_bahadur_shrestha;stole_from;temple;2697;2647
min_bahadur_khatri;stole_from;temple;3180;2647
ahmad_al-faqi_al-mahdi;worked_with;international_criminal_court;2967;2950
ahmad_al-faqi_al-mahdi;worked_with;ansar_dine;2965;2400
ahmad_al-faqi_al-mahdi;occupation;member;1951;2701
thieves;stole_from;kuberan_perumal_temple;7;1850
arthur_brand;worked_with;jewish_families;39;2348
arthur_brand;worked_with;criminal_gangs;39;2386
arthur_brand;worked_with;ira;39;2994
arthur_brand;worked_with;mafia;39;3120
thieves;stole_from;balasubramania_temple;7;1798
mark_beatty;worked_with;miami_american_indian_tribe;2239;2593
mark_beatty;donated_to;miami_american_indian_tribe;2809;2740
vincenzo_peruggia;stolen_from;louvre;2339;2954
ahmad_al-faqi_al-mahdi;occupation;head_of_the_hisbah_or_the_manners_brigade;1951;2217
marianne_schmidl;occupation;ethnologist;2873;3101
john_kerry;occupation;secretary_of_state;2130;2795
marei_von_saher;occupation;heir;764;2871
marei_von_saher;recovered_from;dutch_government;2185;2602
ely_sakhai;sold_to;chinese_forgers;1504;3159
wu_anjie;stole_from;36_ancient_ruins;2279;832
wu_anjie;stole_from;state-level_protected_heritage_site;2280;959
wu_anjie;stole_from;liao_jin_and_yuan_dynasties;2280;720
the_thief;stolen_from;dream_downtown_hotel;477;2341
peter_doig;worked_with;defense_expert_witness;472;2848
alcalde_de_jorge_basadre;occupation;alcalde;2550;56
alcalde_de_jorge_basadre;worked_with;comuna;2601;1088
alcalde_de_jorge_basadre;worked_with;ministerio_de_cultura;2388;541
alcalde_de_jorge_basadre;worked_with;archaeologists;2620;63
jonathan_bourne;paid;$249_372;1847;244
richard_prince;worked_with;suicide_girls_group;565;2691
mary_boone;occupation;gallery_owner;167;2246
max_brod;donated_to;national_library_of_israel;1124;2507
max_ary;worked_with;cosmosphere_aerospace_and_space_museum;1628;2897
62-year-old_man;stole_from;byzantine_period;2526;2909
three_suspects;stolen_from;saints_peter_and_paul_rectory;149;2768
charles_dawson;occupation;amateur_antiquarian_and_solicitor;322;2815
six_masked_robbers;stole_from;neemuch_mata_temple;2068;939
sackett;paid;$13_000;1602;139
marina_solomidou-ieronymidou;occupation;antiquities_department_head;2485;3029
borko_ilincic;worked_with;pink_panther_gang;2603;3111
borko_ilincic;stolen_from;carlton_hotel;3095;653
