moe_howard	actedin	income_tax_sappy
george_scratchley_brown	diedin	bethesda
aleksei_yuryevich_german	diedin	saint_petersburg
joseph_bologna	directed	love_is_all_there_is
roscoe_b._woodruff	haswonprize	distinguished_service_medal
henry_fonda	haswonprize	academy_award_for_best_actor
kirill_lavrov	haswonprize	ussr_state_prize
borys_paton	haswonprize	order_of_the_red_banner_of_labour
mario_monicelli	haswonprize	david_di_donatello
errol_mcfarlane	isaffiliatedto	al-mabarrah
remo_buess	isaffiliatedto	fc_basel
maniche	isaffiliatedto	portugal_national_football_team
hector_sam	isaffiliatedto	notts_county_f.c.
frank_mckenna_(footballer)	isaffiliatedto	fall_river_marksmen
dixie_dean	isaffiliatedto	tranmere_rovers_f.c.
luis_enrique_(footballer)	isaffiliatedto	spain_national_under-21_football_team
ahmet_kuru	isaffiliatedto	fc_st._pauli
daniel_xuereb	isaffiliatedto	france_national_football_team
vasyl_sachko	isaffiliatedto	s.k._tavriya_simferopol
attila_kuttor	isaffiliatedto	mtk_budapest_fc
rasmus_elm	isaffiliatedto	sweden_national_football_team
jim_mckenzie_(ice_hockey_b._1969)	isaffiliatedto	phoenix_coyotes
kate_gill	isaffiliatedto	perth_glory_fc_w-league
al_wood	isaffiliatedto	seattle_supersonics
josé_salomón_rondón	isaffiliatedto	málaga_cf
issam_fayel_al-sinani	isaffiliatedto	al-nasr_sc_(kuwait)
stanislav_šesták	isaffiliatedto	slovakia_national_under-21_football_team
thankgod_amaefule	isaffiliatedto	sharks_f.c.
michal_daněk	isaffiliatedto	fc_baník_ostrava
mikael_dahlberg	isaffiliatedto	sweden_national_under-17_football_team
alex_tayo_akande	isaffiliatedto	eastern_aa
ney_costa	isaffiliatedto	c.d.s._vida
carlos_casteglione	isaffiliatedto	arsenal_de_sarandí
josh_sole	isaffiliatedto	rugby_viadana
josé_manfredi_portillo_hernández	isaffiliatedto	c.d._vista_hermosa
danijel_brezič	isaffiliatedto	slovenia_national_football_team
ian_goodison	isaffiliatedto	hull_city_a.f.c.
juan_mata	isaffiliatedto	spain_national_under-17_football_team
stopira	isaffiliatedto	c.d._santa_clara
ricardo_iribarren	isaffiliatedto	columbus_crew
krzysztof_kazimierczak	isaffiliatedto	zagłębie_lubin
bill_mcpherson	isaffiliatedto	fall_river_marksmen
debatik_curri	isaffiliatedto	fc_vorskla_poltava
vladislav_romanov	isaffiliatedto	pfc_slavia_sofia
nerijus_barasa	isaffiliatedto	lithuania_national_football_team
miroslav_vajs	isaffiliatedto	macedonia_national_football_team
mohammed_ali_karim	isaffiliatedto	erbil_sc
arash_borhani	isaffiliatedto	iran_national_football_team
donald_w._riegle_jr.	isaffiliatedto	republican_party_(united_states)
santiago_cañizares	isaffiliatedto	spain_national_football_team
stuart_mason	isaffiliatedto	bangor_city_f.c.
jürgen_habermas	isinterestedin	political_philosophy
ținutul_crișuri	islocatedin	transylvania
tustin_california	islocatedin	california
sitges	islocatedin	spain
yeung_ching_kwong	playsfor	hong_kong_national_football_team
karl_ready	playsfor	crawley_town_f.c.
simon_cziommer	playsfor	fc_twente
david_sinclair_(footballer_born_1969)	playsfor	falkirk_f.c.
konstantine_darsania	playsfor	fc_sioni_bolnisi
philippe_senderos	playsfor	arsenal_f.c._academy
felipe_jorge_loureiro	playsfor	clube_atlético_mineiro
nima_ghavidel	playsfor	saipa_f.c.
jorge_domínguez	playsfor	argentina_national_football_team
norshahrul_idlan_talaha	playsfor	malaysia_national_football_team
vilard_normcharoen	playsfor	singhtarua_f.c.
santiago_dellapè	playsfor	benetton_rugby_treviso
marcell_takács	playsfor	hungary_national_under-19_football_team
malik_asselah	playsfor	cr_belouizdad
fjodor_xhafa	playsfor	kf_elbasani
aleksandr_stavpets	playsfor	fc_moscow
luis_ignacio_quinteros	playsfor	club_deportivo_universidad_católica
fernando_alves_santa_clara	playsfor	cruzeiro_esporte_clube
anastasios_katsabis	playsfor	greece_national_football_team
andy_williams_(welsh_footballer)	playsfor	wales_national_football_team
yuriy_moroz	playsfor	fc_alania_vladikavkaz
edgar_álvarez	playsfor	cagliari_calcio
oleksandr_shovkovskiy	playsfor	ukraine_national_under-21_football_team
mark_stallard	playsfor	chesterfield_f.c.
aitor_ramos	playsfor	barakaldo_cf
mauricio_donoso	playsfor	deportes_antofagasta
amr_aly	playsfor	los_angeles_lazers
liam_tuohy_(footballer)	playsfor	republic_of_ireland_national_football_team
lothar_kurbjuweit	playsfor	east_germany_national_football_team
ahmed_bahja	playsfor	mas_fez
federico_vairo	playsfor	rosario_central
artur_voskanyan	playsfor	armenia_national_football_team
thomas_rongen	playsfor	chicago_sting
jeff_barmby	playsfor	goole_a.f.c.
bent_skammelsrud	playsfor	norway_national_football_team
phil_king_(footballer)	playsfor	exeter_city_f.c.
edin_ćurić	playsfor	yugoslavia_national_football_team
jim_st._andre	playsfor	milwaukee_wave
benedict_vilakazi_(soccer)	wasbornin	soweto
gabriel_enrique_gómez	wasbornin	panama_city
nikola_jerkan	wasbornin	split_croatia
pablo_álvarez_menéndez	wasbornin	montevideo
ljubiša_spajić	wasbornin	belgrade
otto_hemele	wasbornin	prague
joseph_stefan	worksat	university_of_vienna
