mickey_daniels	actedin	the_big_show_(1923_film)
francis_crick	haswonprize	albert_lasker_award_for_basic_medical_research
rekha	haswonprize	filmfare_awards
miklós_gaál	isaffiliatedto	c.s._marítimo
alexander_hleb	isaffiliatedto	fc_bate_borisov
emiliano_dudar	isaffiliatedto	club_libertad
omar_sebastián_monesterolo	isaffiliatedto	east_bengal_f.c.
tudorel_stoica	isaffiliatedto	f.c._steaua_bucureşti
john_kerr_sr.	isaffiliatedto	new_york_cosmos
alexandros_tziolis	isaffiliatedto	a.c._siena
david_cowan_(footballer)	isaffiliatedto	cowdenbeath_f.c.
harri_ylönen	isaffiliatedto	finland_national_football_team
nicolas_penneteau	isaffiliatedto	france_national_under-20_football_team
giovanni_stroppa	isaffiliatedto	foggia_calcio
shpëtim_hasani	isaffiliatedto	sakaryaspor
andrea_esposito	isaffiliatedto	u.s._lecce
adam_smith_(footballer_born_february_1985)	isaffiliatedto	chesterfield_f.c.
wellington_sánchez	isaffiliatedto	universidad_católica_del_ecuador
matthieu_bochu	isaffiliatedto	ravenna_f.c.
ercole_rabitti	isaffiliatedto	a.c._fanfulla_1874
roger_lemerre	isaffiliatedto	france_national_football_team
don_donovan	isaffiliatedto	republic_of_ireland_national_football_team
tiago_costa	isaffiliatedto	olympiakos_nicosia
fernando_muñoz	isaffiliatedto	spain_national_football_team
glenn_helder	isaffiliatedto	nac_breda
mark_paston	isaffiliatedto	napier_city_rovers_fc
vítor_moreno	isaffiliatedto	c.f._benfica
wayne_cegielski	isaffiliatedto	wales_national_under-21_football_team
adrie_van_kraay	isaffiliatedto	netherlands_national_football_team
lars_winde	isaffiliatedto	sc_bregenz
alo_bärengrub	isaffiliatedto	fc_lelle
andy_rammell	isaffiliatedto	forest_green_rovers_f.c.
octavian_abrudan	isaffiliatedto	acf_gloria_bistrița
mark_barnard_(footballer)	isaffiliatedto	harrogate_town_f.c.
alex_tayo_akande	isaffiliatedto	eastern_aa
ilias_haddad	isaffiliatedto	sc_telstar
alex_pearce	isaffiliatedto	scotland_national_under-21_football_team
timo_gebhart	isaffiliatedto	vfb_stuttgart
josé_zalazar	isaffiliatedto	estudiantes_tecos
ryan_johnson_(soccer)	isaffiliatedto	toronto_fc
hossein_sadaghiani	isaffiliatedto	r._charleroi_s.c.
aleix_vidal	isaffiliatedto	panthrakikos_f.c.
jesús_turiel	isaffiliatedto	real_valladolid_b
jari_niemi	isaffiliatedto	finland_national_football_team
spencer_evans	isaffiliatedto	port_vale_f.c.
vasil_gigiadze	isaffiliatedto	fc_samtredia
nassim_ben_khalifa	isaffiliatedto	switzerland_national_under-17_football_team
daouda_kanté	isaffiliatedto	st._louis_steamers_(1998–2006)
jacques_glassmann	isaffiliatedto	tours_fc
fernando_chemin_radaelli	isaffiliatedto	união_agrícola_barbarense_futebol_clube
helmut_haller	isaffiliatedto	bologna_f.c._1909
cheikh_gueye	isaffiliatedto	fc_metz
baie-comeau_airport	isconnectedto	sept-îles_airport
abu_dhabi_international_airport	isconnectedto	tribhuvan_international_airport
gujarat	islocatedin	gandhinagar
järva_county	islocatedin	paide
tyler	islocatedin	smith_county_texas
mike_twellman	playsfor	dallas_sidekicks_(1984–2004)
kostas_chalkias	playsfor	real_murcia
peter_løvenkrands	playsfor	fc_schalke_04
pontus_farnerud	playsfor	landskrona_bois
paíto	playsfor	sporting_clube_de_portugal
lamin_conteh	playsfor	sierra_leone_national_football_team
leandro_greco	playsfor	a.s.d._astrea
carlos_trucco	playsfor	oriente_petrolero
lionel_ainsworth	playsfor	wycombe_wanderers_f.c.
evgheni_hmaruc	playsfor	fc_dinamo-auto_tiraspol
draško_božović	playsfor	hapoel_be'er_sheva_f.c.
terry_boss	playsfor	cascade_surge
gianvito_plasmati	playsfor	s.s.d._città_di_brindisi
johannes_mononen	playsfor	ac_oulu
jean-eudes_maurice	playsfor	rc_lens
morten_moldskred	playsfor	il_hødd
antonio_sabato_(footballer)	playsfor	u.s._sambenedettese_1923
john_nutter	playsfor	wycombe_wanderers_f.c.
cristian_ianu	playsfor	fc_wohlen
édson_andrade_almeida	playsfor	santa_cruz_futebol_clube
neil_brisco	playsfor	northwich_victoria_f.c.
sead_hajrović	playsfor	barnet_f.c.
nicola_zanini	playsfor	mantova_f.c.
bonni_ginzburg	playsfor	beitar_jerusalem_f.c.
tony_jantschke	playsfor	germany_national_youth_football_team
rubén_maldonado	playsfor	s.s.c._napoli
armin_reichel	playsfor	1._fc_kaiserslautern
daniel_arismendi	playsfor	deportivo_anzoátegui
sean_canham	playsfor	notts_county_f.c.
saša_radivojević	playsfor	fk_radnički_beograd
vitālijs_astafjevs	playsfor	jfk_olimps
piá_(footballer_born_1982)	playsfor	ascoli_calcio_1898
daniel_berg_hestad	playsfor	sc_heerenveen
patrick_mayo	playsfor	bay_united_f.c.
maniche	playsfor	fc_dynamo_moscow
kristi_vangjeli	playsfor	kf_skënderbeu_korçë
pascal_testroet	playsfor	arminia_bielefeld
gonzalo_novoa	playsfor	club_universidad_de_chile
radislav_dragićević	playsfor	fk_borac_čačak
michaël_ciani	playsfor	racing_club_de_france_football_colombes_92
philip_wadler	worksat	carnegie_mellon_university
leonard_eugene_dickson	worksat	university_of_chicago
toyah_willcox	wrotemusicfor	jubilee_(1978_film)
