billy_halop	actedin	hell's_kitchen_(1939_film)
laotian_civil_war	happenedin	north_vietnam
rosalyn_sussman_yalow	haswonprize	albert_lasker_award_for_basic_medical_research
rekha	haswonprize	filmfare_awards
juan_povedano_martínez	isaffiliatedto	umf_selfoss
gergő_jeremiás	isaffiliatedto	rákospalotai_eac
anthony_charles	isaffiliatedto	barnet_f.c.
doug_gilmour	isaffiliatedto	toronto_maple_leafs
davide_succi	isaffiliatedto	a.c._cesena
petar_borota	isaffiliatedto	f.c._porto
paulo_sérgio_betanin	isaffiliatedto	e.c._juventude
joe_allon	isaffiliatedto	port_vale_f.c.
lorgio_álvarez	isaffiliatedto	bolivia_national_football_team
yaroslav_svorak	isaffiliatedto	fc_krymteplytsia_molodizhne
manfred_schwabl	isaffiliatedto	1._fc_nuremberg
gábor_bardi	isaffiliatedto	zalaegerszegi_te
imre_deme	isaffiliatedto	hungary_national_under-21_football_team
kevin_mcleod	isaffiliatedto	swansea_city_a.f.c.
andrea_esposito	isaffiliatedto	u.s._lecce
diego_scotti	isaffiliatedto	club_olimpia
jirès_kembo_ekoko	isaffiliatedto	al_ain_fc
nicole_barnhart	isaffiliatedto	united_states_women's_national_soccer_team
ryan_johnson_(soccer)	isaffiliatedto	toronto_fc
bobby_campbell_(scottish_footballer)	isaffiliatedto	chelsea_f.c.
héctor_scarone	isaffiliatedto	uruguay_national_football_team
raúl_enrique_estévez	isaffiliatedto	unión_española
attila_polonkai	isaffiliatedto	videoton_fc
mario_esteban_berríos	isaffiliatedto	coquimbo_unido
fumaça_(footballer_born_1976)	isaffiliatedto	barnsley_f.c.
markus_heppke	isaffiliatedto	rot-weiss_essen
steven_n'zonzi	isaffiliatedto	amiens_sc
phil_harrington	isaffiliatedto	chester_city_f.c.
jürgen_macho	isaffiliatedto	chelsea_f.c.
félix_ricardo_torres	isaffiliatedto	club_atlético_platense
janício_martins	isaffiliatedto	s.c.u._torreense
ahmad_momenzadeh	isaffiliatedto	foolad_f.c.
césar_pellegrín	isaffiliatedto	deportivo_maldonado
tyrone_marshall	isaffiliatedto	jamaica_national_football_team
darnell_mee	isaffiliatedto	continental_basketball_association
tetsuya_asano	isaffiliatedto	nagoya_grampus
dado_pršo	isaffiliatedto	nk_pazinka
alan_sunderland	isaffiliatedto	england_national_football_b_team
gérald_passi	isaffiliatedto	montpellier_hsc
thomas_kleine	isaffiliatedto	germany_national_football_b_team
santiago_cañizares	isaffiliatedto	spain_national_football_team
mariusz_ujek	isaffiliatedto	zagłębie_sosnowiec
róbert_vittek	isaffiliatedto	1._fc_nuremberg
jordy_clasie	isaffiliatedto	feyenoord
abdikokhor_marifaliev	isaffiliatedto	navbahor_namangan
colorado_springs_airport	isconnectedto	salt_lake_city_international_airport
saint-augustin_airport	isconnectedto	tête-à-la-baleine_airport
jürgen_habermas	isinterestedin	political_philosophy
maitland_florida	islocatedin	florida
naughty_dog	islocatedin	california
penarth	islocatedin	wales
wallace_mccain	livesin	ontario
republic_of_genoa	participatedin	battle_of_crécy
mauricio_almada	playsfor	deportivo_merlo
cristian_ianu	playsfor	fc_wohlen
mevlüt_erdinç	playsfor	paris_saint-germain_f.c.
wim_suurbier	playsfor	afc_ajax
alan_o'neill_(footballer_born_1957)	playsfor	shamrock_rovers_f.c.
martin_kayongo-mutumba	playsfor	uganda_national_football_team
yakubu_abubakar_akilu	playsfor	fc_hjørring
darijan_matič	playsfor	bnei_sakhnin_f.c.
léider_preciado	playsfor	racing_de_santander
srdjan_luchin	playsfor	romania_national_football_team
jody_morris	playsfor	millwall_f.c.
laryea_kingston	playsfor	heart_of_midlothian_f.c.
christian_mcclean	playsfor	swansea_city_a.f.c.
ian_bogie	playsfor	bedlington_terriers_f.c.
stu_riddle	playsfor	greenock_morton_f.c.
chris_sulley	playsfor	dundee_united_f.c.
dean_gordon	playsfor	crystal_palace_f.c.
sergey_timofeev	playsfor	fc_kyzylzhar
lukáš_magera	playsfor	sk_kladno
andrea_orlandi	playsfor	fc_barcelona
chris_turner_(footballer_born_1990)	playsfor	burnley_f.c.
mykhaylo_forkash	playsfor	fc_zorya_luhansk
grzegorz_podstawek	playsfor	kszo_ostrowiec_świętokrzyski
azar_karadas	playsfor	kasımpaşa_spor_kulübü
derek_mcwilliams	playsfor	airdrieonians_f.c._(1878)
vedran_celiščak	playsfor	dalian_shide_f.c.
steve_mautone	playsfor	canberra_cosmos_fc
kieran_charnock	playsfor	peterborough_united_f.c.
dedi_ben_dayan	playsfor	maccabi_tel_aviv_f.c.
mike_twellman	playsfor	dallas_sidekicks_(1984–2004)
marc_wilson_(irish_footballer)	playsfor	a.f.c._bournemouth
vlatko_đolonga	playsfor	deportivo_alavés
feridun_sungur	playsfor	elazığspor
sven_benken	playsfor	f.c._hansa_rostock
rené_bot	playsfor	feyenoord
luke_steele_(footballer)	playsfor	barnsley_f.c.
kenneth_udjus	playsfor	sk_brann
leonīds_ostrovskis	playsfor	fc_mashuk-kmv_pyatigorsk
florin_stângă	playsfor	fc_brașov
hamed_rasouli	playsfor	sepahan_novin_f.c.
danny_lennon	playsfor	ayr_united_f.c.
joseph_kamwendo	playsfor	mighty_wanderers_f.c.
i̇skender_alın	wasbornin	istanbul
